,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Abarema cochliacarpos,Fabaceae,,Barbatimão,"bark,wood","The wood is powdered and used in domestic medicine to treat indolent ulcersbr
br
The bark is analgesic antiinflammatory antiseptic and astringent A decoction of the bark is often used in Brazil in the treatment of wounds haemorrhages haemorrhoids leucorrhoea diarrhoea and various other conditions br
Used externally it is applied as a wash to treat wounds haemorrhoids etc and as drops to treat conjuctivitisbr
Some caution is advised in the use of this plant since the bark is toxic at high dosesbr
br
The bark has been shown to be effective as a treatment for gastric ulcers and gastritis as well as having marked gastroprotective effects and wound healing propertiesbr
An aqueous extract of the bark has been shown to reduce alcohol gastric lesionsbr
A hydroalcoholic extract of the bark has shown antimicrobial activitybr
Ethanol and water extracts obtained from the bark both possess active substances with marked antinociceptive properties  whilst both were effective the methanol extract was more effective than the water extract Such pharmacological effects confirm and justify at least in part the popular use of this plant to treat dolorous processesbr
br
In this context the objective was to evaluate the in vitro antibacterial activity of the extracts cyclohexanic ECH acetonic EA and ethanolic EE extracts from the bark of Abarema cochliacarpos Gomes Barneby amp JW Grimes against bacteria isolated from cutaneous wounds in dogsbr
The assays developed with the cyclohexanic acetonic and ethanolic extracts of Abarema cochliacarpos bark showed antibacterial activity at concentrations 100 div classrefa hrefjavascript50adiv classentryunrelateddl classrefviewdtTitledtddFlora Europaeadd
dtPublicationdtdd dd
dtAuthordtdddd
dtPublisherdtddCambridge University Pressdd
dtYeardtdd1964dd
dtISBNdtdddd
dtDescriptiondtddAn immense work in 6 volumes including the index The standard reference flora for Europe it is very terse though and with very little extra information Not for the casual readerdd
dl
divdiv div classrefa hrefjavascript25adiv classentryunrelateddl classrefviewdtTitledtddBamboosdd
dtPublicationdtdd dd
dtAuthordtddLawsondd
dtPublisherdtddFaberdd
dtYeardtdd1968dd
dtISBNdtdddd
dtDescriptiondtddFairly comprehensive it was once the standard work but is now rather dated Deals with species hardy in Britain giving cultivation details and some usesdd
dl
divdiv 125 and 625 mg  mL against Grampositive strains of Staphylococcus intermedius and Bacillus spbr
Abarema cochliacarpos has pharmacological potential against Grampositive bacteria mainly of the genus Staphylococcus and can be exploited in future researches to obtain bioactive compounds of antibacterial actionbr
h3"
1,Abarema jupunba,Fabaceae,,,"root,leave,bark,whole plant,seed","The whole plant is said to be a parasiticide br
br
An infusion of the scraped roots is used to treat dandruff and to stimulate hair growth br
br
The inner bark is used for treating itchy scalp A soap extracted from the bark has antiparasitic properties br
br
The macerated leaves and inner bark are used as a detergent or as a treatment for itchy and scaling scalp br
br
The seed is swallowed by young women just before engaging in sexual intercourse as a fertility drugbr
"
2,Abelmoschus angulosus,Malvaceae,,,,
3,Abelmoschus caillei,Malvaceae,,West African Okra,"root,leave,seed","This plant is very closely related to okra Abelmoschus esculentus and its range of uses are probably the same The following uses noted for okra should therefore also apply to this speciesbr
br
The roots are very rich in mucilage having a strongly demulcent action They are said by some to be better than marsh mallow Althaea officinalis This mucilage can be used as a plasma replacement An infusion of the roots is used in the treatment of syphilis The juice of the roots is used externally in Nepal to treat cuts wounds and boilsbr
br
The leaves furnish an emollient poultice They are also used as an emollient sudorific or antiscorbutic and to treat dysuriabr
br
A decoction of the immature capsules is demulcent diuretic and emollient It is used in the treatment of catarrhal infections ardor urinae dysuria and gonorrhoeabr
br
The seeds are antispasmodic cordial and stimulant An infusion of the roasted seeds has sudorific propertiesbr
"
4,Abelmoschus crinitus,Malvaceae,,,leave,"The leaves are used in the treatment of dysenterybr
"
5,Abelmoschus esculentus,Malvaceae,,Okra,"root,leave,fruit,flower,seed","The roots are very rich in mucilage having a strongly demulcent action They are said by some to be better than marsh mallow Althaea officinalis This mucilage can be used as a plasma replacement An infusion of the roots is used in the treatment of syphilis The juice of the roots is used externally in Nepal to treat cuts wounds and boilsbr
br
The leaves furnish an emollient poultice They are also used as an emollient sudorific or antiscorbutic and to treat dysuriabr
br
A decoction of the immature fruits is demulcent diuretic and emollient It is used in the treatment of catarrhal infections ardor urinae dysuria and gonorrhoeabr
br
The fruit is crushed with the young leaves and then used to wash the hair and to treat dandruffbr
br
The seeds are antispasmodic cordial and stimulant An infusion of the roasted seeds has sudorific propertiesbr
br
An infusion of the flowers is used to treat phlegm in the mucous membranes of the chestbr
"
6,Abelmoschus ficulneus,Malvaceae,,,"root,leave","The leaves crushed with salted water are used as a treatment against diarrhoeabr
br
A decoction of the crushed fresh root is taken to treat calcium deficiencybr
In case of a scorpion bite the root is crushed in a glass of water and drunk while the root paste is applied on the area of the stingbr
"
7,Abelmoschus manihot,Malvaceae,,Aibika,"root,bark,flower","The bark is said to be emmenagogue A paste of the bark is used to treat wounds and cuts with new paste being applied every 2  3 days for about 3 weeksbr
br
In Nepal the root juice is warmed and applied to sprainsbr
br
The juice of the flowers is used to treat chronic bronchitis and toothachebr
"
8,Abelmoschus moschatus,Malvaceae,,Musk Mallow,"root,stem,leave,fruit,bark,flower,seed,tuber","The seeds are valued medicinally for their diuretic demulcent and stomachic properties They are also said to be stimulant antiseptic antispasmodic cooling tonic carminative and aphrodisiac An emulsion made from the seed is antispasmodic and is especially effective in the digestive system The seeds are also chewed as a nervine stomachic and to sweeten the breath The pulverized seeds mixed with powder provide a useful remedy to treat prickly heatbr
The seeds are crushed and mixed with oil then rubbed on a feverish patient The muskscented seeds are used as a masticatory for dental cavities and bad breathbr
br
The root is said to be effective in the treatment of blennorrhagia and leucorrhoeabr
The grated root mixed with tallow is applied as an unguent on infected nailpricks and thornpricks It is macerated in rum as a rub for feversbr
The tuberous roots of the subspecies Abelmoschus moschatus tuberosus Span Borss are said to be sought after by the Chinese as a substitute for ginseng Panax ginsengbr
br
A decoction of the roots and leaves is taken as an emollient remedy for treating gonorrhoea and rheumatismbr
br
The leaves are antiinflammatory and febrifuge They are used in a poultice that is applied to the forehead to control violent headachebr
A decoction of the leaves and green fruits are used in a bath to ease childbirthbr
br
The leaves and flowers are rubbed on scabies and also applied as a poultice on swellingsbr
br
A paste of the bark is applied to cuts wounds and sprainsbr
br
The essential oil is used in aromatherapy for the treatment of depression and anxiety It is also applied externally to treat cramp poor circulation and aching jointsbr
br
The oil obtained from the seeds contains farnesol ambrettolic acid and the lactone ambrettolidebr
The petals contain the flavonol cannabiscitrine and cyanidine glycosidebr
br
The plant is used as an antivenom and a diureticbr
"
9,Abelmoschus sagittifolius,Malvaceae,,,"root,leave,flower,tuber","The roots are rich in mucilage and are reconstituent antitussive cooling demulcent emmenagogic and tonic They are used in the treatment of various conditions such as general debility insomnia pulmonary tuberculosis anorexia infantile stomatitis rachitis persistent fever and cough sore throat bronchitis menstrual disorders lumbago body pains ventigo and leucorrhoeabr
The roots collected in autumn and winter are soaked in rice wash for 12 hours then steamed and dried in the sun or in dryersbr
br
The leaves and flowers are used to make a poultice that is used to treat scabiesbr
br
The plant is a potential substitute for the widely used herb marshmallow Althaea officinalis It has similar properties and is a better source of mucilage up to 40 compared with 20br
"
