,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Sphenocentrum jollyanum  ,Menispermaceae, Akerejupon,Sphenocentrum,"Roots, fruits.","Cough, wounds, aphrodisiac,fever,jaundice,breast swelling related to menstrual cycles, malaria."
1,Lannea nigritana,Anacardaceae," Orita,oyinyin",Wodier wood,"Leaves, root bark,exudate.","Sprains, gout, dysentery, asthma, bruises.rheumatic joint,astringent,neurotic disorders,skin diseases."
2,Entada gigas,Mimosaceae,Aagbaa,"Seahearts,monkey ladders","Leaves,seeds,stem-twigs.","Diarrhoea,antimicrobial,abdominal pain, abortifacient,convulsion,astringent,charm to ward off evil spirit"
3,Piliostigma reticulatum ,Leguminosae,"Abafe,Kargoo","Piliostigma, kargo","Leaves, pods, stem twigs, roots","Fever, ulcer, rheumatism, cough, tooth-ache,hookworms,diuretic,diabetes"
4,Anthonotha macrophylla,Leguminosae,"Abara,apado,agbagba",,"Latex, bark","Gonorrhoea, dysentery, diarrhea,yellow fever."
5,Synsepalum dulcificum ,Sapotaceae,"Abayunkun, Agbayun",Miracle fruit,Fruit pulp,"Diabetes, obesity."
6,Pleioceras barteri,Apocynaceae,"Abeji,pari-omode,dagba,Bakin mutum",Pleioceras,"Roots,fruits,seeds","Skin diseases,anaemia,abortifacient,irregular menstruation,cystitis,change of foetus position"
7,Leersia hexrandra,Poaceae,Abeko,Leersia,Leaves,"Asthma,bronchitis,chest pains"
8,Bidens pilosa  ,Compositae,"Abere-Oloko, Omo langanran","Black jar,spanish needles,beggar's tick,hairy beggarticks","Flowers, leaves,whole plant","Diarrhoea, abdominal disorders,enema, rheumaticism,coughs,anaesthetic,ease labour,antipyretics,caries"
9,Strictocardia beraviensis,Convolvulaceae,Abesun-un-digbero,Elephant creeper,"Leaves,roots","Guinea worms,elephantiasis,migraine,arthritis."
10,Triumfeta cordifolia,Tiliaceae,"Abiko, Itogbin-in",,"Leaves, floers","Malaria, laxative"
11,Eclipta prostrata,Compositae,"Abikole, arojoku","Ink plant,thistles,false daisy",Leaves,"Elephantiasis, fever,cough, skin diseases,oedema,liver ailments,emetic,antiseptic,diarrhoea,convulsion."
12,Chrysanthellum indicum,Compositae,"Abilere, Oyigi",Indian crysanthemum,Whole plant,"Boils, fever, gonorrhoea, jaundice, heart-trouble,insecticide."
13,Anchomanes difformis,Araceae,"Abirisoko,langbodo,ogirisako,hantsar gada, oje",Anchomanes,Roots,"Diuretics,purgative,gonorrhoea"
14,Hybanthus enneaspermus  ,Violaceae,Abiwere,Hybanthus,Whole plant,Easy and painless child delivery.
15,Annona senegalensis  ,Annonaceae,"Abo, Ibobo,gwandar daji,uburu ocha","African custard apple,Gwanda-daji","Root, bark, leaves, seeds","Cancer, dysentery, cough,venereal diseases,toothache,astringent,anthelmintic,ease labour,eye drops, tumour out growth,anti-bee sting."
16,Parinari curatellaefolia,Rosaceae,"Abo-idofun,Rura",Rough-skinned plum,"Roots,leaves,bark","Skin infections,antipyretic,anthelmintics,nervous disorders,cough"
17,Monodora myristica  ,Annonaceae,"Abo-lakoshe,Ariwo,Ehuru",Calabash nutmeg,Seeds,"Constipation, lice, guinea worm, headache,anaemia,impotence,wounds,arthritis."
18,Hymenocardia acida,Hymenocardiacae,"Aboopa, Orupa",Hymenocardia,"Leaves, bark","Measles, fever, jaundice, coated tongue."
19,Achyranthes aspera  ,Amaranthaceae,"Aboro,Abora hakoorin-maciijii",Rough-Chaff herb,"Leaves,roots","Stomach disorders, Abortion, diarrhoea, dysentery, skin diseases,Malaria, venereal diseases, haemostatic, cold"
20,Melanthera scadens,Compositae,"Abo-yunyun, Agbugbo",Melanthera,"Leaves, roots, stems","Haemostatic, inflammation, chicken pox, purgative, cough, sore-throat."
21,Mitragyna stipulosa ,Rubiaceae,"Abura, Ewe-Obi,Uburu,Gayensori","Mitragyna,African linden","Leaves, stem, roots","Fever, cough, dysentery, pregnancy diseases,colic,skin diseases,anthelmintics"
22,Spondianthus preussii,Euphorbiaceae,Abuwa,Spondianthus,"Seeds, roots, leaves",Poison
23,Spondianthus preussii,Euphorbiaceae,"Abuwa, orho",,"Root, fruits, seeds, shoots",Poison
24,Thonningia sanguinea,Balanophoraceae,"Adele, Oyaile,Kulla,Akankwanza",Thonningia,Young flowers/whole plant,"Cough, bronchitis, dysentery, poison stabilizing pregnancy,anthelmintic"
25,Syzygium guineense,Myrtaceae,"Adere, Igi-aro,Malmoo",Watter-berry.rose apple,"Seeds, leaves","Diabetes, sorethroat, diarrhoea, dysentery."
26,Lagenaria siceraria,Cucurbitaceae,"Ado,Oba,Duma,",Bottle gourd,"Leaves, seeds, fruit pup","Anthelmintic properties, chest pains,purgative"
27,Mussaenda elegans,Rubiaceae,"Ado,odo-omode,pani ebi,Ezebwo",Mussaenda,Bark,Astringent
28,Nerium oleander,Apocynaceae,Adodo,Oleander,"Leaves,whole plant,roots","Dysentery,anthelmintics,cough,antitumour,abortifacient,skin diseases,pile."
