,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Babiana hypogea,Iridaceae,,,,None known
1,Baccaurea angulata,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
2,Baccaurea bracteata,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
3,Baccaurea brevipes,Phyllanthaceae,,,"leave,bark","An extract of the leaves is used to regulate menstruationbr
br
We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
4,Baccaurea carinata,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
5,Baccaurea costulata,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
6,Baccaurea deflexa,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
7,Baccaurea dolichobotrys,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
8,Baccaurea dulcis,Phyllanthaceae,,Rambai,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
9,Baccaurea edulis,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
10,Baccaurea javanica,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
11,Baccaurea lanceolata,Phyllanthaceae,,,"leave,bark","The leaves are pounded in bamboo and mixed with water then used in the treatment of stomachachesbr
br
We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
12,Baccaurea macrocarpa,Phyllanthaceae,,Lara,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
13,Baccaurea macrophylla,Phyllanthaceae,,Lang Khae,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
14,Baccaurea maingayi,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
15,Baccaurea microcarpa,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
16,Baccaurea minor,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
17,Baccaurea mollis,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
18,Baccaurea motleyana,Phyllanthaceae,,Rambai,bark,"The squeezed cambium and inner bark are used as a remedy for sore eyesbr
h3"
19,Baccaurea multiflora,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
20,Baccaurea nanihua,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
21,Baccaurea nesophila,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
22,Baccaurea odoratissima,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
23,Baccaurea papuana,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
24,Baccaurea parviflora,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
25,Baccaurea philippinensis,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
26,Baccaurea polyneura,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
27,Baccaurea pubera,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
28,Baccaurea purpurea,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
29,Baccaurea pyriformis,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
30,Baccaurea racemosa,Phyllanthaceae,,Menteng,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
31,Baccaurea ramiflora,Phyllanthaceae,,Burmese Grape,"root,fruit,bark,sap,wood","The fruit is used to treat skin diseasesbr
br
The sap of the fresh bark the bark roots and wood are all used medicinallybr
br
We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
32,Baccaurea reticulata,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
33,Baccaurea sarawakensis,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
34,Baccaurea simaloerensis,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
35,Baccaurea sumatrana,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
36,Baccaurea tetrandra,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
37,Baccaurea trigonocarpa,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
38,Baccaurea velutina,Phyllanthaceae,,,bark,"We have no specific information on this species but the bark of several members of this genus is used to relieve eye inflammationbr
h3"
39,Baccharis genistelloides,Asteraceae,,Carqueja,"stem,whole plant","The whole plant is abortifacient analgesic antacid anthelmintic antiinflammatory antiviral bitter blood purifier diaphoretic digestive diuretic febrifuge hepatic hypoglycaemic laxative and tonicbr
br
The plant contains up to 20 flavonoids including quercetin luteolin nepetin apigenin and hispidulin These are considered the main active constituents Studies have shown that hispidulin has a particularly beneficial effect upon the liver though it is more effective when used in combination with the whole plantbr
Several novel plant chemicals called clerodane diterpenoids have also been identified and it has been shown that these had maximum effects against worms This could possibly explain carquejas long history of use as an agent to expel intestinal wormsbr
Several other trials have been carried out on the medicinal properties of carqueja These have supported the traditional uses of the plant to reduce stomach acidity treat ulcers reduce inflammation and lower high blood pressurebr
Carqueja has also long been used in South America as a natural aid for diabetes and several studies confirm its  ability to lower blood sugar levelsbr
The plants antiviral activity has also been verified in research with waterextracts showing activity against Herpes simplex I and Vesicular stomatitis viruses at low dosages It has also shown an in vitro inhibition of HIV virus replication in Tcells which seems to be mainly due to the substance 35dicaffeoylquinic acid which is found in the plant This substance is a potent inhibitor of HIV at dosages as low as only 1 mcgmlbr
br
The plant has long been used by the indigenous peoples of the rainforest to cure a wide range of common ailments In modern herbal use it is valued primarily as a tonic bitter febrifuge and stomachic with a particularly beneficial effect upon the liver and digestive system It is used primarily to treat liver diseases to strengthen stomach and intestinal function and to help purge obstructions of the liver and gallbladder It is also used to treat a range of other conditions including malaria diabetes stomach ulcers sore throat and tonsillitis angina anaemia diarrhoea indigestion dropsy urinary inflammation kidney disorders intestinal worms leprosy and poor blood circulationbr
"
40,Baccharis salicifolia,Asteraceae,,Seep Willow,"stem,leave","A decoction of the leaves and stems has been used as a female hygienic agentbr
An infusion of the leaves has been used as an eyewash and has also been applied to bruises wounds or insect stingsbr
br
An infusion of the herb is used in the treatment of colicbr
h3"
41,Baccharis tridentata,Asteraceae,,,,None known
42,Baccharoides adoensis,Asteraceae,,,leave,"The  bitter leaves are used as a stomachicbr
"
43,Baccharoides anthelmintica,Asteraceae,,Kinka,seed,"The small extremely bitter seeds are powerfully anthelmintic diuretic stomachic and tonic They are said to be an effective treatment against threadworms even if their use is not followed by a purgative An infusion is used as a treatment for coughs and flatulencebr
The seeds are used in the treatment of skin diseases and for treating scorpion stingsbr
The bruised seeds ground up into a paste with lime juice are applied externally as a treatment to kill licebr
"
