,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Cabralea canjerana,Meliaceae,,Canjarana,"root,stem,bark,wood","The bark of both stem and roots is used medicinally though that of the root is the more powerful They are abortifacient antiarthritic digestive emetic febrifuge and narcotic They are used in the treatment of swamp fever and dropsybr
br
A wood extract is used in the treatment of dyspepsia and skin afflictionsbr
"
1,Cadaba farinosa,Capparaceae,,,"root,stem,leave,bark,wood","The leaves are used in the treatment of dysentery colds various internal disorders and dermatological conditions The crushed leaves mixed with millet flour are used as a medicine against coughsbr
br
The roots and leaves have been used in the treatment of anthrax mainly in cattle coughs and rheumatismbr
br
The wood ashes are used to treat general body painsbr
br
The alkaloids cadabicine and cadabicine diacetate have been isolated from the stem barkbr
br
Preparations made from the plant are used in cleansing ceremonies in the Sudanbr
h3"
2,Caesalpinia bahamensis,Fabaceae,,,,"The plant is an effective diureticbr
"
3,Caesalpinia crista,Fabaceae,,,"root,leave,fruit,seed","The leaves fruits and roots are antiperiodic and tonicbr
The root is also considered a diuretic and useful in the treatment of kidney stones and bladder stonesbr
br
Bonducin a bitter extract obtained in generous quantities from the seed cotyledons is commonly known as ‘poor man’s quinine’ because it is used as a treatment for malaria A decoction of crushed seeds is used as an emetic and is credited with antidysenteric properties The seeds are used in the treatment of colicbr
br
The fruits are applied externally in the treatment of rashbr
"
4,Caesalpinia major,Fabaceae,,Mato Amarillo,"root,fruit,seed","The roots are anthelmintic and tonic A decoction is drunk to rid the body of parasites and also in the treatment of rheumatism and backachebr
br
The roasted and ground seeds are drunk as a kind of coffee to cure respiratory illnessesbr
The gray seeds are used in the treatment of diarrhea Three of the seeds are cracked and boiled with three young fruits of lada Morinda citrifolia and three plants of maigo lalo Phyllanthus amarus The resultant tea is very bitter and is taken internallybr
"
5,Caesalpinia pulcherrima,Fabaceae,,Peacock Flower,"root,leave,bark,flower,seed","A decoction or infusion of the roots bark leaves or flowers is used as a purgative and emmenagogue According to the dosage it may be used as a mouthwash for teeth or gums a remedy for colds and fevers or even as a strong abortifacientbr
br
The root is astringent bitter emmenagogue and in larger doses is used as an abortifacient It is used in the treatment of diarrhoeabr
br
The leaves are emmenagogue febrifuge and tonic At larger doses they can be abortifacient An infusion is used to relieve constipation as a treatment for kidney stones and to accelerate childbirth The leaves of the yellow flowered form is used to treat stomachachesbr
br
An infusion of the leaves and flowers is used as a diureticbr
br
The leaves flowers and seeds are used in the treatment of stomach urinary bladder and kidney problemsbr
br
An infusion of the leaves and seeds is used as an abortifacient to induce a quick uncomplicated abortion in early pregnancybr
br
The flowers are febrifuge and when fresh sudorific An infusion is used as a treatment for gall bladder problems The flowers of the redflowered form f pulcherrima are used to treat urinary tract problemsbr
br
The seed is pectoralbr
h3"
6,Caesalpinia violacea,Fabaceae,,Brasiletto,,None knownh3
7,Caesalpinia volkensii,Fabaceae,,,"root,leave,flower,seed,pod","Caesalpinia volkensii is used in traditional medicine in Kenya and Tanzania mainly as a treatment for malaria In the area around Nairobi Kenya over 60 of the herbalists prescribe a decoction of the leaves to cure malaria sometimes alone but more often mixed with other plants Invitro tests of the leaf extracts have shown antiplasmodial activity against chloroquinesensitive and chloroquineresistant strains of Plasmodium falciparumbr
The leaf decoction is also taken to fight pains during pregnancybr
br
Pregnant women take powdered pods dissolved in water to relieve stomachachebr
br
The roots are eaten cooked raw or as an addition to palm wine for their aphrodisiac properties They are also used to treat gonorrhoea and bilharziabr
br
The seeds are used to cure stomach ulcersbr
br
Flower buds are crushed and applied to the eye to treat eye problemsbr
br
Unspecified plant parts are used in Kenya to treat retinoblastomabr
"
8,Cajanus cajan,Fabaceae,,Pigeon Pea,"root,leave,bark,flower,seed,pod","The roots are anthelmintic sedative expectorant and vulnerarybr
br
An infusion of the leaves is used as a treatment for pulmonary conditions such as coughs and bronchitis The leaf juice is taken internally in the treatment of haemorrhages coughs and diarrhoea An infusion of the leaves combined with Dactyloctenium aegyptium is used to accelerate childbirthbr
Young leaves are chewed to treat boils on the tongue A decoction is used for washing ulcers The boiled leaves are applied to sores and wounds to hasten cicatrizationbr
br
Young shoots and the green seedpods are used to make a good pectoral infusionbr
br
An infusion of the flowers and leaves is diuretic and is used as a diabetes remedybr
br
An infusion of the flowers is pectoralbr
br
A decoction of the plant is diuretic and laxative It is used in the treatment of sore throatsbr
br
An infusion of the seeds is diuretic A flour made from the seeds is resolutivebr
br
Leaf contains cholesterolbr
The root bark contains numerous flavones including cajaflavanone and cajanone and triterpenesbr
The root contains cajanone an antimicrobial agentbr
An enzyme called urease can be extracted from the plant It has medicinal applicationsbr
h3"
9,Cajanus scarabaeoides,Fabaceae,,,"root,stem,leave,whole plant,seed","A traditional Chinese medicine it is used for improving digestion and diuresis part not specifiedbr
br
The whole plant is used in the treatment of swelling and pain in the leg during pregnancy night fevers renal stones eye diseases dropsy anaemia hemiplegia burns and wound smallpox syphilis gonorrhoea spermatorrhoea gravel cholera dysentery snakebite and rinderpest A decoction of the whole plant combined with honey is taken orally as tonic after a woman has given birth Combined with black pepper Piper nigrrum a decoction of the plant is used in the treatment of diarrhoea and dysenterybr
The juice of the plant is used as a treatment for diarrhoea and dysenterybr
br
A paste of the leaves is administered orally to cure swellings in the bodybr
The fresh leaf paste is applied topically to get relief from the pain of rheumatism A paste of the fresh stem and leaves is applied to sores and to areas affected by venereal diseasesbr
br
The powdered root is taken orally in order to improve the digestion treat stomachache and reduce abdominal gasbr
An extract of the crushed roots is used as ear drops in the treatment of deafnessbr
br
The crushed seeds are used as a parasiticide to rid the body of tapewormbr
h3"
