,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Dacrycarpus cinctus,Podocarpaceae,,,,None known
1,Dacrycarpus compactus,Podocarpaceae,,,,None known
2,Dacrycarpus cumingii,Podocarpaceae,,,,None known
3,Dacrycarpus expansus,Podocarpaceae,,,,None known
4,Dacrycarpus imbricatus,Podocarpaceae,,,,None known
5,Dacrycarpus steupii,Podocarpaceae,,,,None known
6,Dacrydium beccarii,Podocarpaceae,,,,None known
7,Dacrydium comosum,Podocarpaceae,,,,None known
8,Dacrydium cornwallianum,Podocarpaceae,,,,None known
9,Dacrydium elatum,Podocarpaceae,,,wood,"An essential oil from the wood is used to treat stomach achebr
"
10,Dacrydium gibbsiae,Podocarpaceae,,,,None known
11,Dacrydium gracile,Podocarpaceae,,,,None known
12,Dacrydium nausoriense,Podocarpaceae,,,,None known
13,Dacrydium nidulum,Podocarpaceae,,,,None known
14,Dacrydium novoguineense,Podocarpaceae,,,,None known
15,Dacrydium pectinatum,Podocarpaceae,,,,None known
16,Dacrydium xanthandrum,Podocarpaceae,,,,None known
17,Dacryodes belemensis,Burseraceae,,Ibapichuna,,None known
18,Dacryodes buettneri,Burseraceae,,,"fruit,bark","The powdered bark is used for the treatment of burnsbr
br
The resin is applied to abscesses and it is used as a disinfectant and astringentbr
br
Distillation of the resin yielded 67 essential oil with the main components being terpinen4ol 27 pcymene 19 and alphapinene 13 The essential oil showed invitro antioxidant activity and antibacterial activity against a range of bacteriabr
The main components in the essential oil of the fruit are alphapinene 29 and limonene 23br
"
19,Dacryodes costata,Burseraceae,,,,None known
20,Dacryodes edulis,Burseraceae,,Bush Butter Tree,"leave,bark,pulp,sap","The resin from the bark is used to treat parasitic skin diseases jiggers etcbr
br
A barkdecoction is taken powdered with maleguetta pepper as an antidysenteric and for anaemia spitting blood and as an emmenagoguebr
The decoction is also used for making gargles and mouthwashes for treating tonsillitisbr
The pulpedup bark is used as a wound cicatrizant Combined with palmoil it is applied topically to relieve general pains and stiffness and to treat cutaneous conditionsbr
br
The leaves are eaten raw with kola nut as an antiemeticbr
The leafsap is instilled into the ear for eartroublebr
A leafdecoction is prepared as a vapourbath for treating feverish stiffness with headachebr
h3"
21,Dacryodes excelsa,Burseraceae,,Candlewood,wood,"A resin obtained from the wood has medicinal usesbr
"
22,Dacryodes expansa,Burseraceae,,,,None known
23,Dacryodes heterotricha,,,,,"A decoction of the leaf is taken to treat whooping coughbr
"
24,Dacryodes igaganga,Burseraceae,,,,None known
25,Dacryodes kingii,Burseraceae,,,,None known
26,Dacryodes klaineana,Burseraceae,,,"leave,sap","The ground leaf is an ingredient of an enema applied against painful menstruationbr
br
The plant part not specified is used to treat tachycardia and coughbr
br
The leaves contain tannins and traces of saponinsbr
"
27,Dacryodes macrocarpa,Burseraceae,,,,None known
28,Dacryodes nitens,Burseraceae,,,bark,"The bark is warmed and used as a bandage to bring relief to arthritic joints swellings and areas of muscular aches and painsbr
br
The juice of the inner bark is applied onto ringworm sores on the skin or other forms of skin rash as an antifungal agent The inner bark is boiled and the water used as an antipruritic or as a herbal bath The inner bark is used as a poultice to tie around persistent sores on the skinbr
"
29,Dacryodes normandii,Burseraceae,,,,None known
30,Dacryodes occidentalis,Burseraceae,,,,None known
31,Dacryodes olivifera,Burseraceae,,,,None known
32,Dacryodes peruviana,Burseraceae,,Copal,,None known
33,Dacryodes puberula,Burseraceae,,,,None known
34,Dacryodes pubescens,Burseraceae,,,,None known
35,Dacryodes rostrata,Burseraceae,,,,None known
36,Dactyladenia barteri,Chrysobalanaceae,,Monkey Fruit,"root,bark","The bark and roots are used medicinally as a purgative and against a variety of ailmentsbr
h3"
37,Dactyladenia scabrifolia,Chrysobalanaceae,,,,"A leaf decoction is taken to treat dysenterybr
"
38,Dactylocladus stenostachys,Crypteroniaceae,,,,None known
39,Dactyloctenium aegyptium,Poaceae,,Coast Button Grass,"leave,whole plant,seed","The whole plant is used in a decoction to remedy lumbagobr
br
An infusion of the leaves mixed with the seeds of Cajanus cajan is used to accelerate childbirth A decoction of the leaves combined with Scoparia dulcis is used as a remedy for dysenterybr
"
40,Dactyloctenium giganteum,Poaceae,,,,None knownh3
41,Daemonorops affinis,Arecaceae,,,,None known
42,Daemonorops angustifolia,Arecaceae,,,,None known
43,Daemonorops calapparia,Arecaceae,,,,None known
44,Daemonorops calicarpa,Arecaceae,,,,None known
45,Daemonorops clemensiana,Arecaceae,,,,None known
46,Daemonorops crinita,Arecaceae,,,,None known
47,Daemonorops curranii,Arecaceae,,,,None known
48,Daemonorops didymophylla,Arecaceae,,,,"The resin was formerly valued as a medicine in Europe because of its astringent properties though it is little used there at presentbr
The resin is astringent and stimulant Internally it is used to alleviate chest pains postpartum bleeding internal traumas and menstrual irregularitiesbr
The resin is used externally as a wash to further healing and stop bleeding  It has been used in dentifrices and as a mouth washbr
Dragon’s blood is brittle feebly sweetish or almost tasteless and odourlessbr
"
49,Daemonorops draco,Arecaceae,,Dragon's Blood,,"The resin was formerly valued as a medicine in Europe because of its astringent properties though it is little used there at presentbr
The resin is astringent and stimulant Internally it is used to alleviate chest pains postpartum bleeding internal traumas and menstrual irregularitiesbr
The resin is used externally as a wash to further healing and stop bleeding  It has been used in dentifrices and as a mouth washbr
Dragon’s blood is brittle feebly sweetish or almost tasteless and odourlessbr
"
50,Daemonorops elongata,Arecaceae,,,,None known
51,Daemonorops fissa,Arecaceae,,,,None known
52,Daemonorops forbesii,Arecaceae,,,,None known
