,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Ebenopsis ebano,Fabaceae,,,seed,"The toasted seeds are purgativebr
h3"
1,Eberhardtia aurata,Sapotaceae,,,,None known
2,Eberhardtia tonkinensis,Sapotaceae,,,,None known
3,Echinochloa colona,Poaceae,,Jungle Rice,,None known
4,Echinochloa crus-galli,Poaceae,,Barnyard Millet,root,"Reported to be preventative and tonic barnyard grass is a folk remedy for treating carbuncles haemorrhages sores spleen trouble cancer and woundsbr
br
The shoots andor the roots are applied as a styptic to woundsbr
br
The plant is a tonic acting on the spleenbr
h3"
5,Echinochloa frumentacea,Poaceae,,Japanese Millet,,"The plant is useful in the treatment of biliousness and constipationbr
h3"
6,Echinochloa obtusiflora,Poaceae,,,,None known
7,Echinochloa stagnina,Poaceae,,Hippo Grass,,None knownh3
8,Echinochloa turneriana,Poaceae,,Channel Millet,,None known
9,Echium stenosiphon,Boraginaceae,,,,"The plant is used to prepare a drink to cure coldsbr
"
10,Eclipta prostrata,Asteraceae,,Han Lian Cao,"root,stem,leave,flower,whole plant,sap","This species is widely used in traditional Chinese herbal medicine and in Ayurveda It is considered to be the best remedy for the hair an excellent treatment for a range of skin disorders and is also used as a rejuvenator and liver tonic The plant has been shown to contain isoflavonoids including wedelolactone and desmethylwedelolactone glucosidebr
In trials the plant has shown moderate activity against a variety of animal cancersbr
Extracts have been used to treat carbon tetrachlorideinduced liver damagebr
br
The whole plant contains the alkaloids nicotine and ecliptine as well as coumarin It is astringent deobstruent depurative emetic febrifuge ophthalmic purgative styptic and tonic It is used internally in the treatment of dropsy and liver complaints anaemia diphtheria etc tinnitus tooth loss and premature greying of the hairbr
Externally the plant is used as an oil to treat hair loss and is also applied to athletes foot eczema dermatitis wounds etc It is applied to cuts bruises and sores in order to stop bleeding and relieve painbr
br
The plant juice mixed with an aromatic essential oil is used in the treatment of catarrhal problems and jaundicebr
br
The leaves are used to treat fevers eye diseases asthma bronchitis liver problems diarrhoea and weak bladder A decoction is used to treat cancerbr
The leaves are used in the treatment of scorpion stings and as an antidote for snake bitesbr
The ground up leaves are rubbed on the head of infants as a remedy for convulsions and are rubbed on the skin to make pigmented blotches on infants disappear The leaves are also used to treat a range of other skin problems including cuts sores pimples rashes and various diseases including leprosy The juice of crushed leaves is used in a decoction to wash the scalp for preventing hair lossbr
br
The stem and leaves are used to treat anaemia and dysentery Aerial portions of the plant are reputedly effective in a beverage to remedy albuminuriabr
br
The roots are emetic and purgative They are applied externally as an antiseptic to ulcers and wounds especially in cattlebr
br
The flowers are used to treat conjunctivitisbr
"
11,Edithcolea grandis,Apocynaceae,,,,None known
12,Efulensia clematoides,Passifloraceae,,,"root,leave,bark,sap","The leaves are cooked as a vegetable and eaten with meat or fish for their supposed beneficial action upon the liver and for treating enlarged spleensbr
br
Some saponins are present in the bark and rootsbr
Hydrocyanic acid is abundant in the roots and traces of it occur in the barkbr
The plant contains the cyanohydrin glycosides barterin tetraphyllin B and deidaclinbr
"
13,Ehretia acuminata,Boraginaceae,,Kodowood,leave,"The leaves and branchlets are used in Chinese medicinebr
"
14,Ehretia alba,Boraginaceae,,,,None known
15,Ehretia amoena,Boraginaceae,,,,None knownh3
16,Ehretia anacua,Boraginaceae,,Anaqua,,None known
17,Ehretia aspera,Boraginaceae,,,"root,leave,fruit,bark","The leaves fruit and root extract is used in the treatment of chest infectionsbr
br
Bark paste is applied as an ointment for cuts and woundsbr
"
18,Ehretia cymosa,Boraginaceae,,,"root,leave,bark,sap","The leaves are febrifuge haemostatic and laxative Sap from the fresh leaves is used as a mild laxative for children The leaves are commonly used in an infusion with other plants taken orally and also used as a wash to treat fevers children’s convulsions etcbr
Leaf poultices are applied to fractured bones to promote healing The leaf usually after pounding with that of Newbouldia laevis and a guinea pepper is tied on the head as a remedy for headachesbr
br
The crushed roots mixed in water are taken as a treatment against stomach complaintsbr
The root juice is applied to woundsbr
br
A decoction of the roots and leaves is used as a treatment for infantile tetanus and dysenterybr
br
A decoction of the bark is taken as a remedy for amenorrhoea and the decoction when left to cool separates to a supernatant layer of oil which is applied to skinaffectionsbr
br
A trace of alkaloid has been detected in the plant  Leavesbr
h3"
19,Ehretia moluccana,Boraginaceae,,,,"The plant part not specified is used as a disinfectant after childbirth and as a contraceptivebr
"
20,Ehretia obtusifolia,Boraginaceae,,,"root,leave","The leaves are used as an infusion to treat sore throat and are rubbed on the gums of infants suffering from teething painsbr
br
The powdered root is added to porridge to treat painful menstruation and infertility in women and an infusion of the roots is taken against retained placenta A decoction of the roots is taken as a painkiller specifically against abdominal painbr
"
21,Eichhornia crassipes,Pontederiaceae,,Water Hyacinth,,"The leaf petioles are eaten as a treatment for diarrhoeabr
An infusion of the inflated petioles is used in a bath to treat feversbr
h3"
22,Einadia nutans,Amaranthaceae,,Climbing Saltbush,,None known
23,Ekebergia benguelensis,Meliaceae,,,"root,leave,bark","The roots are used in traditional medicine to treat painful menstruation abdominal pain loss of appetite and as an aphrodisiacbr
br
The powdered bark is taken against impotencebr
br
The boiled leaves are applied to the chest to treat pneumoniabr
"
24,Ekebergia capensis,Meliaceae,,Cape Ash,"root,leave,bark,seed,wood,tuber","The bark roots and leaves are widely used in traditional medicine Much research has been carried out into the active compounds in the plant and this research has tended to support the traditional usesbr
The growth of both drugresistant and drugsensitive strains of Mycobacterium tuberculosis was inhibited by bark extracts of Ekebergia capensis at a concentration of 01 mgmlbr
Bark extracts showed antiplasmodial activity against both chloroquinesensitive and chloroquineresistant strains of Plasmodium falciparumbr
Invivo tests have shown significant suppression of chloroquinetolerant Plasmodium berghei by both bark and leaf extractsbr
Several antiplasmodial triterpenoids have been isolated from the barkbr
Methanol extracts of the bark showed pronounced antibacterial activity against several bacteriabr
Extracts of the wood have shown uterotonic activity on uterine smooth muscle  the active compounds isolated were identified as oleanonic acid and 3 epioleanolic acidbr
Leaf extracts have shown antioxidant activitybr
Seed extracts have shown significant invitro anthelmintic activity against Haemonchus contortus supporting the traditional use as an anthelmintic for livestock in Ethiopiabr
Limonoids terpenoids flavonoids steroids and phenolic compounds have also been isolated from the plantbr
The seeds contain the limonoid ekebergin as their main constituentbr
br
The bark is astringent emetic and vermifuge Decoctions infusions and macerations are taken to treat a range of conditions including gastritis heartburn dysentery epilepsy and gonorrhoeabr
The bark is used externally to treat a range of skin complaints including ulcers abscesses boils scabies acne pimples and itching A powder prepared with the bark is sniffed against headache colds and sinusitisbr
br
The roots are diuretic and expectorant A decoction is used to treat kidney problems dysentery headaches heartburn chronic coughs and other respiratory complaintsbr
The charred and pulverized roots are sniffed as a means of relieving headaches and blocked nosesbr
br
The leaves are vermifuge Macerations are used both internally and externally in the treatment of headaches fevers coughs and skin complaints The leaves are used as a remedy for intestinal wormsbr
br
The wood is used by Zulu peopleto facilitate childbirthbr
h3"
25,Elaeagnus conferta,Elaeagnaceae,,,"root,leave,fruit,pulp,flower","The fruit pulp roots and leaves are used medicinallybr
br
The fruits and flowers are used to treat sores and ulcersbr
h3"
26,Elaeagnus latifolia,Elaeagnaceae,,Bastard Oleaster,"fruit,flower","The flowers are astringent and cardiacbr
br
The fruit is astringentbr
The fruit of many members of this genus is a very rich source of vitamins and minerals especially in vitamins A C and E flavanoids and other bioactive compounds It is also a fairly good source of essential fatty acids which is fairly unusual for a fruit It is being investigated as a food that is capable of reducing the incidence of cancer and also as a means of halting or reversing the growth of cancersbr
h3"
27,Elaeagnus triflora,Elaeagnaceae,,,"fruit,flower","The ripe fruit is astringent It is given to children suffering from amoebic dysenterybr
br
The flowers are astringent and cardiacbr
h3"
28,Elaeis guineensis,Arecaceae,,African Oil Palm,"root,pulp,sap","Traditional medicinal uses in Africa are numerousbr
br
Preparations made from the palm heart are used to treat gonorrhoea menorrhagia and perinatal abdominal pain and are considered laxative antiemetic and diureticbr
br
The leaf sap is used in preparations used to treat skin affectionsbr
br
The roots as analgesicbr
br
The oil from the pulp is emollient and is used as an excipient for herbal ointments It is used to treat suppurations whitlows and swellings of the legs caused by erysipelas and infestations by Filariabr
h3"
29,Elaeis oleifera,Arecaceae,,American Oil Palm,pulp,"The oil obtained from the pulp is applied externally in the treatment of rheumatism to invigorate hair growth combat dandruff and to repel insectsbr
br
Hairs from the leaf axils are said to be haemostaticbr
"
30,Elaeocarpus angustifolius,Elaeocarpaceae,,Blue Marble Tree,"fruit,bark,seed,sap","The seeds are valued as a remedy for blood pressure and heart ailmentsbr
br
The fruit is used in the treatment of diseases of the head and epileptic fitsbr
br
The leaf sap is used to cure stomachache or pain in the chest and shouldersbr
br
In the Philippines there is one record of the bark being applied to treat an enlarged spleenbr
h3"
31,Elaeocarpus bakaianus,Elaeocarpaceae,,,,None known
32,Elaeocarpus bancroftii,Elaeocarpaceae,,Johnstone River Almond,,None known
33,Elaeocarpus baudouinii,Elaeocarpaceae,,,,None known
34,Elaeocarpus beccarii,Elaeagnaceae,,,,None known
35,Elaeocarpus bifidus,Elaeocarpaceae,,,,None known
36,Elaeocarpus blepharoceras,Elaeagnaceae,,,,None known
37,Elaeocarpus braceanus,Elaeocarpaceae,,,,None knownh3
38,Elaeocarpus calomala,Elaeocarpaceae,,,,None known
39,Elaeocarpus coorangooloo,Elaeocarpaceae,,,,None known
40,Elaeocarpus culminicola,Elaeocarpaceae,,,,None known
41,Elaeocarpus cumingii,Elaeocarpaceae,,,,None known
42,Elaeocarpus dolichostylus,Elaeocarpaceae,,,,None known
43,Elaeocarpus eumundi,Elaeocarpaceae,,,,None known
44,Elaeocarpus finisterrae,Elaeocarpaceae,,,,None known
45,Elaeocarpus floribundus,Elaeocarpaceae,,,"leave,fruit,bark","An infusion of the bark and leaves is drunk as a tonicbr
An infusion of the bark and leaves is used as a mouthwash for inflamed gums The bark and leaves are used in a poultice to treat ulcersbr
br
The fruits have medicinal valuebr
"
46,Elaeocarpus foveolatus,Elaeocarpaceae,,,,None known
47,Elaeocarpus glaber,Elaeocarpaceae,,,,None known
48,Elaeocarpus grandiflorus,Elaeocarpaceae,,,"leave,bark,seed","The crushed bark is used for poulticing persistent ulcersThe bark is an ingredient of a traditional drug for womens diseasesbr
br
A decoction of the leaves is drunk as a general tonic and is used in the treatment of bilious afflictions The leaves are an ingredient of a traditional drug against syphilisbr
br
The seeds are a common ingredient in many traditional jamus They are credited with mild diuretic properties and as such are included in prescriptions to relieve bladder stones and painful urination in generalbr
"
49,Elaeocarpus griffithii,Elaeocarpaceae,,,bark,"The bark is used to produce an antimalaria medicinebr
"
50,Elaeocarpus hygrophilus,Elaeocarpaceae,,,,None known
51,Elaeocarpus lanceifolius,Elaeocarpaceae,,,,None known
52,Elaeocarpus largiflorens,Elaeocarpaceae,,,,None known
53,Elaeocarpus leucanthus,Elaeocarpaceae,,,,None known
54,Elaeocarpus miegei,Elaeocarpaceae,,,,None known
55,Elaeocarpus murukkai,Elaeocarpaceae,,,,None knownh3
56,Elaeocarpus obovatus,Elaeocarpaceae,,,,None knownh3
57,Elaeocarpus obtusus,Elaeocarpaceae,,,,None known
58,Elaeocarpus palembanicus,Elaeocarpaceae,,,,None known
59,Elaeocarpus pedunculatus,Elaeocarpaceae,,,,None known
60,Elaeocarpus petiolatus,Elaeocarpaceae,,,,None known
61,Elaeocarpus polyandrus,Elaeocarpaceae,,,,None known
62,Elaeocarpus polydactylus,Elaeocarpaceae,,,,None known
