,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Fadogia ancylantha,Rubiaceae,,,,None known
1,Fadogia cienkowskii,Rubiaceae,,,root,"The roots are used for treating infertilitybr
"
2,Fadogia elskensii,Rubiaceae,,,root,"The roots are boiled with porridge and the whole is taken to treat infertility in womenbr
"
3,Fadogia homblei,Rubiaceae,,,,None known
4,Fadogia stenophylla,Rubiaceae,,,,None known
5,Fadogia tetraquetra,Rubiaceae,,,,None known
6,Fadogia triphylla,Rubiaceae,,,,None known
7,Fagaropsis angolensis,Rutaceae,,,"root,stem,bark","The stem bark is used in traditional medicine to treat malariabr
br
The root is chewed as an expectorant The powdered root is taken in drinks or gruel to treat male sterilitybr
br
Several alkaloids and limonoids have been isolated from the stem bark including the antimalarial benzophenanthridine alkaloid nitidinebr
Methanol and aqueous extracts of the stem bark have shown considerable invitro activity against both chloroquineresistant and chloroquinesensitive Plasmodium falciparum strainsbr
Methanol extracts have shown significant toxicity in the brine shrimp test but water extracts have shown only mild toxicitybr
The compounds canthin6one and 5methoxycanthin6one showed fungicidal activitybr
"
8,Fagaropsis hildebrandtii,Rutaceae,,,root,"The roots are used in traditional medicine to treat chest painbr
"
9,Fagopyrum esculentum,Polygonaceae,,Buckwheat,"stem,leave,flower,seed","Buckwheat is a bitter but pleasant tasting herb that is frequently used medicinally because the leaves are a good source of rutin br
The bioflavonoid rutin is obtained from all aboveground parts of the plant Rutin has been shown to be useful in the treatment of a wide range of circulatory problems It is a capillary tonic that strengthens the inner lining of blood vessels dilates the blood vessels reduces cholesterol levels reduces capillary permeability and lowers blood pressure In addition it is strongly antioxidant diuretic antiinflammatory and antispasmodic It has also been shown to help inhibit cancerforming cells and protects the cells against the harmful effects of radiationbr
br
The leaves and shoots of flowering plants are acrid astringent and vasodilator It is used internally in the treatment of high blood pressure gout varicose veins chilblains radiation damage etc It is best used in conjunction with vitamin C since this aids absorption Often combined with lime flowers Tilia species it is a specific treatment for haemorrhage into the retina The leaves and flowering stems are harvested as the plant begins to flower and are dried for later use They should be stored in the dark because the active ingredients rapidly degrade in the light Some caution should be exercised in the use of this herb because it has been known to cause lightsensitive dermatitisbr
br
A poultice made from the seeds has been used for restoring the flow of milk in nursing mothersbr
br
An infusion of the herb has been used in the treatment of erysipelas an acute infectious skin diseasebr
br
A homeopathic remedy has been made from the leaves It is used in the treatment of eczema and liver disordersbr
h3"
10,Fagraea belukar,Gentianaceae,,,,None known
11,Fagraea berteroana,Gentianaceae,,,"leave,bark","The inner bark is used in treating asthma and diabetesbr
br
The boiled leaves are used in the treatment of rashes and skin irritationsbr
h3"
12,Fagraea ceilanica,Gentianaceae,,,,None known
13,Fagraea crenulata,Gentianaceae,,,,None known
14,Fagraea elliptica,Gentianaceae,,,,"The plant part not specified is used to treat stomach achesbr
"
