,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Gagnebina myriophylla,Fabaceae,,,,None known
1,Galbulimima belgraveana,Himantandraceae,,,"leave,fruit,bark","Leaves and bark contain alkaloids which are both narcotic and hallucinogenic and are used in New Guinea in combination with the leaves of a Homalomena species Araceaebr
The bark is brewed into a tea and taken internally It produces intoxication which is followed by a deep sleep during which visions are experiencedbr
br
The fruit has also narcotic properties and is chewedbr
br
The fruits and other parts leaves bark etc contain alkaloids and the family is one of the most alkaloidrich groups among the Angiospermsbr
The species is a rich source of alkaloids that cause intoxication followed by hallucinations The level of alkaloids is such that pigeons feeding on the fruits in New Guinea are reported to have sufficient levels of the hallucinogens in their flesh to produce a reaction in anyone dining on thembr
"
2,Galinsoga parviflora,Asteraceae,,Gallant Soldier,,"When rubbed onto the body the plant is useful in treating nettle stings and other skin inflammations The juice of the plant is applied to treat wounds It helps to coagulate the blood of fresh cuts and woundsbr
h3"
3,Galipea jasminiflora,Rutaceae,,,"root,bark","The bark is used as a febrifuge in place of quinine Cinchona spp in parts of Brazilbr
br
A decoction of the roots is used to treat wartsbr
"
4,Galium orizabense,Rubiaceae,,,"stem,leave","The plant is anthelmintic and an effective febrifuge The powdered leaves and stems are used to rid the body of intestinal parasitesbr
"
5,Gallesia integrifolia,Phytolaccaceae,,,"stem,wood","A decoction of the wood is used in the treatment of lymphatic system diseases and intestinal wormsbr
br
An essential oil obtained from the plant is used in the treatment of gonorrhoeabr
h3"
6,Ganophyllum falcatum,Sapindaceae,,,,None known
7,Garcinia acuminata,Clusiaceae,,Bacuri Azedo,,None known
8,Garcinia adinantha,Clusiaceae,,,,None known
9,Garcinia afzelii,Clusiaceae,,,"root,stem,bark,seed","Traphia wine in which rootbark has been soaked is drunk in Sierra Leone as an aphrodisiacbr
br
The seeds are acknowledged to be highly erogenic so that they ‘should not be eaten when brother and sister are left alonebr
br
The bark is chewed in Sierra Leone as a treatment for cough and stomachache or a decoction of it is takenbr
br
Phytochemical tests have shown the presence of a high amount of flavonic substances in the chewsticks and of tannins and flavones in root and stembarks also of gamboge which is haemostatic antiseptic and vulnerarybr
"
10,Garcinia amboinensis,Clusiaceae,,,,None known
11,Garcinia arenicola,Clusiaceae,,,,None known
12,Garcinia atroviridis,Clusiaceae,,Asam Gelugur,"root,leave,fruit","The dried fruit is used for improving blood circulation as an expectorant treatment of coughs and as a laxative It is believed that the fruit extract can promote good health by reducing bloodcholesterol levels and enlarging the blood vessels absorbing excess fat etc It is commonly used in diets in southeast Asiabr
br
A decoction of leaves and roots is used in the treatment of ear achesbr
"
13,Garcinia bancana,Clusiaceae,,,,None known
14,Garcinia beccarii,Clusiaceae,,,,None known
15,Garcinia binucao,Clusiaceae,,,,None known
16,Garcinia brasiliensis,Clusiaceae,,Bacupari,"root,bark,pulp,seed","The seeds contain 8 to 9 oil by weight which is used in poultices on wounds whitlows tumours and externally over an enlarged liverbr
br
An infusion of the pulp has a narcotic action with an effect like that of nicotinebr
br
The root bark extract contains rheediaxanthone and a polyprenylated benzophenone other lesser constituents and 3 new prenylated xanthonesbr
"
17,Garcinia buchananii,Clusiaceae,,,root,"An infusion from the roots is used as an aphrodisiac and as a lotion for soresbr
h3"
18,Garcinia celebica,Clusiaceae,,Seashore Mangosteen,"root,leave","A decoction of the root may be administered after childbirth as a preventive medicinebr
The roots and leaves are used to relieve itchingbr
br
The tree yields an inferior kind of gamboge a gumresin which is used medcinallybr
"
19,Garcinia cochinchinensis,Clusiaceae,,,,"Gamboge a gumresin obtained from the plant is used as an ointmentbr
Gamboge has been employed in western medicine as a hydragoguecathartic but is little used nowbr
"
20,Garcinia costata,Clusiaceae,,,,None known
21,Garcinia cowa,Clusiaceae,,,"fruit,bark,seed","The fruit is acidic and astringent It is used in the treatment of dysenterybr
br
The seeds are used in preparation of medicines applied externallybr
br
Camboge a gumresin obtained from the bark branches and fruits is used medicinallybr
Gamboge has been employed in western medicine as a hydragoguecathartic but is little used nowbr
"
22,Garcinia dauphinensis,Clusiaceae,,,,None known
23,Garcinia delpyana,Clusiaceae,,,,None known
24,Garcinia dioica,Clusiaceae,,,,None known
25,Garcinia dives,Clusiaceae,,,,None known
26,Garcinia dulcis,Clusiaceae,,Maphuut,"root,fruit,bark,seed","The crushed extract of the fruit is used as a relief expectorant for coughs and scurvybr
br
The crushed extract from the root is used for the relief of fever and to reduce poisoning and detoxificationbr
br
The crushed extract from the bark is used for cleaning woundsbr
br
The oily seeds are used as a remedy for dysentery and chronic diarrhoeabr
The pounded seeds are applied to cure swellingsbr
"
27,Garcinia echinocarpa,Clusiaceae,,,,None known
28,Garcinia elliotii,Clusiaceae,,,seed,"The seeds are used in the treatment of indigestionbr
"
29,Garcinia epunctata,Clusiaceae,,,"root,leave,bark","The roots are crushed and soaked in palmwine to make ‘male medicine’ which is strongly aphrodisiacbr
br
The bark is eaten to soothe coughbr
br
The leaves are made into a soup for treating upset tummy The leaves are prepared in decoction to treat troubles of the teethbr
br
Phytochemical analysis has shown abundant flavonins in the bark and roots and some tanninsbr
"
30,Garcinia esculenta,Clusiaceae,,,,None known
31,Garcinia gardneriana,Clusiaceae,,Bacupari,,None known
32,Garcinia griffithii,Clusiaceae,,,,None known
33,Garcinia gummi-gutta,Clusiaceae,,Camboge,fruit,"A decoction made from the plant part not specified is used in the treatment of rheumatism and bowel complaintsbr
br
An extract obtained from the mature fruit rind Hydroxy Citric Acid is used as a treatment against obesitybr
h3"
34,Garcinia hanburyi,Clusiaceae,,Gamboge,,"The gum resin obtained from the trunk is a drastic purgative an emetic and a vermifuge used for treating tape worm It is no longer used in human medicinebr
Gamboge is odourless and tasteless or slightly acid Large doses of gamboge administered as a medicine can be fatalbr
"
35,Garcinia harmandii,Clusiaceae,,,,None known
36,Garcinia heterandra,Clusiaceae,,,"fruit,bark","Gamboge a gumresin obtained from the bark branches and fruits is used medicinallybr
Gamboge has been employed in western medicine as a hydragoguecathartic but is little used nowbr
"
37,Garcinia humilis,Clusiaceae,,,sap,"The sap is applied to the skin for its healing propertiesbr
"
38,Garcinia indica,Clusiaceae,,Goa Butter,"root,fruit,bark,seed","The seed butter oil is used as a remedy in the treatment of dysentery and mucous diarrhoeabr
The butter is applid externally to treat chaps and fissures of the lips It has a soothing action and is used in the treatment of skin diseasesbr
br
The ripe fruit is antiscorbutic anthelmintic cardiotonic cholagogue cooling demulcent and emollient The aqueous extraction from the fruits of this species is also used in order to reduce anxietybr
br
The root bark fruit and the seed oil are used to treat piles abdominal disorders mouth diseases and worm infestationsbr
"
39,Garcinia intermedia,Clusiaceae,,Mameyito,,None known
40,Garcinia kingaensis,Clusiaceae,,,,None known
