,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Habenaria epipactidea,Orchidaceae,,,,None known
1,Habenaria rumphii,Orchidaceae,,,,None known
2,Habenaria walleri,Orchidaceae,,,root,"The roots are pounded and soaked in cold water The resulting liquid is used in the treatment of stomachachebr
"
3,Haematoxylum brasiletto,Fabaceae,,,,"A decoction or infusion of the plant is employed in Guatemala for treating erysipelas and inflammation of the stomachbr
"
4,Haematoxylum campechianum,Fabaceae,,Campeachy Wood,wood,"The wood is anodyne antiinflammatory mildly astringent blood purifier digestive febrifuge haemostatic and tonic It is prescribed in the form of a decoction and liquid extractbr
It is considered useful against a range of conditions including diarrhoea dysentery atonic dyspepsia and leucorrhoeabr
Externally it is used as an astringent disinfectant for wounds and skin ulcersbr
An ointment prepared from the wood is said to be useful against cancer and hospital gangrenebr
br
The wood contains haematoxylin a substance that has been shown to possess antiflammatory propertiesbr
h3"
5,Hagenia abyssinica,Rosaceae,,Kousso,"root,bark,flower","The flowers of Kousso are very commonly used as an anthelmintic in traditional medicine in Africa Generally though this is a very strong medicine with toxic properties and it must not be taken in large quantities  strong doses can cause fainting visual disorders or even death The plant is also sometimes taken as an abortifacientbr
br
The dried and pounded female inflorescence is used as an anthelmintic especially for expelling tapeworm Traditionally a tea made from the flowers would be drunk every three months to rid the body of tapeworms The tea is drunk before breakfast about 30  180 minutes later its laxative action starts The head of the tapeworm scolex is seldom expelled so the worm can regrow hence the need to repeat the treatment every 1  3 months br
br
The roots are cooked with meat and the soup drunk for treating general illness and malariabr
br
The bark may be pounded added to cold water and the liquid drunk as a remedy for diarrhoea and stomachachebr
br
The active principles in the flowers are phloroglucinol derivatives called kosins kosotoxin protokosin kosidin αkosin and βkosinbr
The efficacy of kosso as anthelmintic depends on dosage and the health of the patient Strong doses of kosso can cause fainting visual disorders or even death Usually a dose of 8  16g of dried flowers is taken but some people use as much as 35gbr
Although it is often stated that female flowers should be used most tests reveal no difference in effect between male and female flowers They can be as effective as the chemical anthelmintics dichlorophen niclosamide and praziquantelbr
Side effects may include irritation of the gastrointestinal tract salivation nausea headache fainting spells general weakness and diarrhoea Some believe that sideeffects are more severe when male flowers are used and that male flowers have greater emetic activitybr
Invitro tests have shown cytotoxic effects against carcinomous cellsbr
h3"
6,Hakea lorea,Proteaceae,,Cork Tree,,None known
7,Haldina cordifolia,Rubiaceae,,,"root,bark","The bark is antiseptic and febrifugebr
br
The juice of the plant is applied externally to kill worms in soresbr
br
An infusion of the roots is used in the treatment of diarrhoea and dysenterybr
"
8,Halleria lucida,Scrophulariaceae,,,leave,"Dry leaves are soaked in water and squeezed into the ear to relieve earachebr
h3"
9,Halosarcia indica,Amaranthaceae,,Glasswort,,None known
10,Hamelia axillaris,Rubiaceae,,,root,"The root is grated and boiled to make a decoction which is taken as a remedy for diarrhoea and stomach achebr
"
11,Hamelia patens,Rubiaceae,,Corail,"leave,fruit","The fruits and leaves have served for home remedies in some countriesbr
br
The leaves and young shoots are taken in order to procure an abortion up to the third or fourth month of pregnancybr
"
12,Hancea acuminata,Euphorbiaceae,,,fruit,"The fruits are eaten to treat malariabr
"
