,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Ibicella lutea,Martyniaceae,,,seed,"The seeds are emollient resolvent They are used as a poulticebr
"
1,Icacina mannii,Icacinaceae,,,"root,stem,sap,tuber","A leafdecoction is taken as an expectorant and emetic to relieve bronchial affections and coughsbr
The leafsap combined with guineagrains Aframomum melegueta constitute an embrocation applied in massage to areas of costal pain The leafsap is added to that of a Tetrorchidium species possibly Tetrorchidium didymostemon for use on soresbr
br
The root is sometimes taken as an expectorant and emetic to relieve bronchial affections and coughsbr
The tuber is mashed up and macerated for 2  3 days in water which is then drunk as a remedy for gastrointestinal troubles and dysenterybr
br
The plant part not stated is reputed to be a purgative and a powerful diuretic it is used in the treatment of oedema and female sterilitybr
"
2,Icacina oliviformis,Icacinaceae,,False Yam,,
3,Icacina trichantha,Icacinaceae,,,,"The plant part not stated is considered to be aphrodisiac and is also used externally to heal soft tumoursbr
"
4,Icuria dunensis,Fabaceae,,,,None known
5,Iguanura geonomiformis,Arecaceae,,,"root,leave","The roots and leaves have been taken by women as a contraceptivebr
"
6,Ilex affinis,Aquifoliaceae,,,leave,"The leaves are laxativebr
"
7,Ilex brevicuspis,Aquifoliaceae,,,,None known
8,Ilex cerasifolia,Aquifoliaceae,,,,None known
9,Ilex conocarpa,Aquifoliaceae,,,leave,"The leaves are diuretic stomachic and tonic It is used as a substitute for Yerba Mate Ilex paraguariensisbr
"
10,Ilex dipyrena,Aquifoliaceae,,,,None known
11,Ilex dumosa,Aquifoliaceae,,,,None known
12,Ilex malabarica,Aquifoliaceae,,,,None known
13,Ilex mitis,Aquifoliaceae,,,"leave,bark","The bark is chewed for its purgative action A decoction of the bark is used to cure constipation and is taken in the form of an enema to treat colic in childrenbr
A powder made from dried bark is inhaled to cure colds and woundsbr
A preparation of the pounded bark and leaves is used to wash influenza patientsbr
h3"
14,Ilex paraguariensis,Aquifoliaceae,,Maté,"leave,wood","The mineral rich leaves contain xanthine derivatives including about 15 caffeine plus theobromine and theophylline and up to 16 tannins They are stimulant diuretic antirheumatic They are said to have the power to increase intellectual lucidity and vigourbr
The leaves are used internally in the treatment of headaches migraine neuralgic and rheumatic pain fatigue and mild depression They have also been used in the treatment of diabetesbr
The leaves are harvested when the berries are ripe they are heated over a wood fire ground into a powder then stored in sacks for 12 months before being usedbr
"
15,Ilex pseudobuxus,Aquifoliaceae,,,,None known
16,Ilex sebertii,Aquifoliaceae,,,,None known
17,Ilex theezans,Aquifoliaceae,,,leave,"The leaves are diuretic stimulant and stomachicbr
"
