,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Jacaranda brasiliana,Bignoniaceae,,,"leave,fruit,bark","The bark contains a bitter principle and is astringent It has a high reputation in dealing with bladder problemsbr
A decoction of the bark is used for washing wounds and ulcersbr
br
A decoction of the leaves is taken internally to treat syphilis scrophula and chronic skin complaintsbr
br
The fruits are used in the treatment of coughsbr
"
1,Jacaranda caroba,Bignoniaceae,,,"leave,bark","The bitter bark is antisypilitic astringent cathartic and diureticbr
br
The leaves are antisyphilitic and tonic They are used in the treatment of syphilis and various skin problemsbr
br
The plant is used  in the treatment of urethritis rheumatism and skindiseasesbr
"
2,Jacaranda copaia,Bignoniaceae,,,"root,leave,bark","The bark is cathartic and emetic An infusion is used in the treatment of dysentery The bark is used in an antisyphilitic powderbr
br
A decoction of the leaves is used in the treatment of feversbr
Applied externally the leaf is used in a plaster with soap to treat leishmaniasis bosyaws It is used in a pomade for treating skin diseases such as ringworm The juice from the young leaves is warmed and applied to persistent sores A gargle of the leaves is used to treat syphilitic lesions of the throatbr
br
The root is diaphoreticbr
"
3,Jacaranda cuspidifolia,Bignoniaceae,,,,None known
4,Jacaranda macrantha,Bignoniaceae,,,,None known
5,Jacaranda micrantha,Bignoniaceae,,,leave,"The leaves are depurative and antisyphilitic They are much used in southern Brazilbr
br
A quinol derivative with antibacterial properties has been isolatedbr
"
6,Jacaranda mimosifolia,Bignoniaceae,,Jacaranda,"root,leave,bark","The bark and roots are used in the treatment of syphilisbr
br
The leaves are used as a vulnerarybr
h3"
7,Jacaranda puberula,Bignoniaceae,,,"leave,bark","The bark is sudorificbr
br
Preparations made from the leaves are used to rid the body of uric acid which is useful in treating cases of rheumatism and blenorrhagia It is also used to deal with bladder problems and externally to treat ulcers eczema wounds etcbr
"
8,Jacaratia mexicana,Caricaceae,,Bonete,,None known
9,Jacaratia spinosa,Caricaceae,,Jacaratia,"fruit,latex,bark","The fruit is antiinflammatory strongly anthelmintic and somewhat hydragogue It is used to treat infections of the gutbr
br
A latex obtained from the tree has medicinal uses The latex obtained from the fruit and bark is strongly proteolyticbr
h3"
10,Jackiopsis ornata,Rubiaceae,,,,None known
11,Jacquemontia tamnifolia,Convolvulaceae,,,,
12,Jagera pseudorhus,Sapindaceae,,Foam Bark Tree,,None known
13,Jaltomata procumbens,Solanaceae,,Jaltomate,,None known
14,Jarilla heterophylla,Caricaceae,,Jarilla,,None known
15,Jasminum auriculatum,Oleaceae,,,"leave,flower,tuber","The leaves are used in the treatment of mouth ulcersbr
br
The flowers are used in the treatment of consumption tuberculosisbr
"
