,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Kadsura angustifolia,Schisandraceae,,,,"The plant is used medicinallybr
br
Kadsura species are widely used for a variety of medicinal purposes throughout the geographical range of the genus Little distinction is made between species presumably due to the common presence of similar pharmacologically active constituents Although it can be presumed that a wide range of different Kadsura species have been used medicinally it is generally only themore common species that are reported in the literaturebr
"
1,Kadsura coccinea,Schisandraceae,,,"root,stem,leave,fruit,seed","The roasted fruit is a hypnotic and sedativebr
br
The seed is aphrodisiac pectoral and tonicbr
br
The roots and stems are used for treating gastric and duodenal ulcers gastroenteritis rheumatism lumbago dysmenorrhea and for improving blood circulationbr
br
The leaves are used to treat eczemabr
"
2,Kadsura heteroclita,Schisandraceae,,,"root,stem","The stems are used in southern China for the treatment of menstrual irregularities blood deficiencies and other female disordersbr
Derivatives of the root and stem are used as an analgesic and to ameliorate rheumatism gastroenteritis and malariabr
br
Kadsura species are widely used for a variety of medicinal purposes throughout the geographical range of the genus Little distinction is made between species presumably due to the common presence of similar pharmacologically active constituents Although it can be presumed that a wide range of different Kadsura species have been used medicinally it is generally only themore common species that are reported in the literaturebr
"
3,Kadsura japonica,Schisandraceae,,,fruit,"A decoction of the dried fruits is bechic stomachic and tonic It is used in the treatment of kidney diseasesbr
br
The dried fruits are the source of Fructus Kadsurae The drug is used in traditional medicine as a tonic stimulant antitussive beneficial to kidneys and lungs and is prescribed in cough and asthma The drug is often used as a substitute for Schisandra chinensis Turcz Baillbr
"
4,Kadsura longipedunculata,Schisandraceae,,,"root,stem,leave,fruit","The fruit root stems or leaves are antitussive anodyne carminative and decongestantbr
br
Derivatives of the root and stem are used as an analgesic and to ameliorate rheumatism gastroenteritis and malaria The plant has also been used in the treatment of cancer in southern Chinabr
"
5,Kadsura oblongifolia,Schisandraceae,,,,"The plant is used medicinallybr
br
Kadsura species are widely used for a variety of medicinal purposes throughout the geographical range of the genus Little distinction is made between species presumably due to the common presence of similar pharmacologically active constituents Although it can be presumed that a wide range of different Kadsura species have been used medicinally it is generally only themore common species that are reported in the literaturebr
"
6,Kadsura scandens,Schisandraceae,,,"root,stem,fruit,bark,sap","A decoction of the roots and stem is used as an expectorantbr
A decoction of the roots is applied as a lotion for rheumatismbr
br
The sap of the plant is drunk as a remedy for urinary problems abdominal pains and diarrhoeabr
Applied topically the sap is used to alleviate skin diseasesbr
br
The fruits are used to alleviate skin problemsbr
br
The bark is used to combat feverbr
The stem bark is used to treat menstrual disorders and blood deficiencybr
"
7,Kaempferia angustifolia,Zingiberaceae,,,"root,rhizome,tuber","The small roots and tubers have astringent properties and are used in the treatment of coughs dysentery and diarrhoeabr
The watery main rhizome is considered coolingbr
"
8,Kaempferia galanga,Zingiberaceae,,Galanga,"root,leave","Galanga is a bitter stimulant herb with a camphoraceous aroma It is antibacterial improves the digestion and has diuretic effectsbr
br
The root is the part most commony used being taken internally to treat colds bronchial complaints dyspepsia and other gastric complaints and headaches It is chewed to treat sore throats and coughs It is used in traditional medicine for the treatment of high blood pressure and asthma The roots are an ingredient of a post partum medicinebr
Externally the root is applied as a poultice to wounds swellings and ulcers and is also used to treat dandruff and rheumatic joints It is used as a gargle for sore throatsbr
The roots are harvested in the dormant season wellwashed then dried for later usebr
br
The leaves are chewed to treat coughs and sore throatbr
"
9,Kaempferia rotunda,Zingiberaceae,,,rhizome,"The rhizome is cooling and diureticbr
The rhizome is ground into a paste and applied externally for the treatment of sprainsbr
br
The plant yields flavonoids crotepoxide chalcones quercetin flavonols Bsitosterol stigmasterol syringic acid protocatechuic acid and hydrocarbonsbr
An essential oil that contains cineol is obtained from the rhizome One of the constituents benzyl benzoate has shown antimicrobial activity against various tested microbes P aeruginosa S typhimurium B subtilis moderate antioxidant activity and some larvicidal activitybr
The plant has an antioxidant potential to control agedependent diseases such as myocardial infarction diabetes atherosclerosis cancer etcbr
"
10,Kalaharia uncinata,Lamiaceae,,,"root,leave","The roots are used as a treatment for Bilharziabr
br
The crushed fresh leaves are applied to itching and aching pustules on the skin to bring reliefbr
"
11,Kalanchoe brachyloba,Crassulaceae,,,"root,stem","The dried and pulverised root is used in the treatment of neck pains It is usually taken in the form of a snuff The spongy tissue found inside the dry stems is sometimes used for the same purposebr
The fresh root is chewed as a treatment for a bad coldbr
"
12,Kalanchoe ceratophylla,Crassulaceae,,,leave,"The leaves or the juice pressed from the leaves have widespread application in the topical treatment of ulcers and are also used to relieve headachebr
"
13,Kalanchoe crenata,Crassulaceae,,,"root,leave,whole plant,sap","The leaves are considered to be anthelmintic antiemetic antiseptic antiinflammatory cicatrizant counterirritant galactogogue sedative and tonic They are deemed to have both purifying and mitigating properties The boiled leaves are used as a sedative in the treatment of asthma One leaf soaked in water when taken internally to treat palpitations acts as a sedative A decoction is given as an enema to pregnant women as a tonic The leafsap is used as an antiemetic to increase milk flow and to calm intercostal and intestinal painbr
Leaves are put into cuts to staunch bleeding and are rubbed on feverish infants The leafsap is used to cicatrize wounds cure colds and treat eye and ear troublesbr
br
The root and leafsap are used as an antimalarialbr
br
A decoction of the whole plant  administered in the form of an enema is used as an anthelminticbr
br
A rootdecoction is taken by women in pregnancy as a tonicbr
The fresh root is used as a snuff or is chewed to treat coldsbr
br
A trace of alkaloid has been reported in the leaves of Nigerian material and a strong presence in the rootsbr
"
14,Kalanchoe laciniata,Crassulaceae,,,"stem,leave","The leaves are considered antipruritic antiseptic astringent emollient and styptic They are taken internally for the treatment of diarrhoea dysentery lithiasis and phthisisbr
Applied topically the leaves are said to be good for cleaning ulcers and allaying inflammation to stem bleeding on fresh cuts and abrasions and as a poultice they are used for purposes such as relieving venomous insectbites applied to the chest to relieve coughs and colds and on the head to ease a headache The leaf is applied in frictions for the relief of itch They are made into a lotion for soothing smallpoxbr
br
The leaf has been reported to contain a fat a yellow organic acid cream of tartar calcium sulphate tartaric acid calcium oxalate and malic acidbr
"
15,Kalanchoe lanceolata,Crassulaceae,,,root,"The dried and pulverised root is used in the treatment of neck pains It is usually taken in the form of a snuffbr
"
16,Kalanchoe pinnata,Crassulaceae,,Mother of Millions,,
17,Kalanchoe prolifera,Crassulaceae,,,leave,"The fresh leaves may well be used in a similar way as with Kalanchoe pinnatabr
"
18,Kalappia celebica,Fabaceae,,Kalapi,,None known
19,Kallstroemia maxima,Zygophyllaceae,,Verdolaga,,None known
20,Kanahia laniflora,Apocynaceae,,,"root,stem,latex,bark,sap","A root extract is taken with honey to induce abortionbr
A root decoction combined with the leaf sap is given to children with convulsions caused by malariabr
br
The latex is applied as ear drops to treat ear infection The latex is applied to soresbr
br
A plant decoction is taken to treat epileptic attacksbr
br
Phytochemical studies on the roots have shown the presence of small quantities of cardenolides as well as larger amounts of pregnane glycosidesbr
Tests on different parts of the plant have suggested the presence of flavonoidsbr
Different plant extracts have shown an indication of sympathetic stimulation central nervous system depression diuretic activity peripheral vasodilatation and slight psychotropic activity and metabolic poisoningbr
A methanolic extract of the aerial parts demonstrated a noteworthy growth inhibitory effect against several human cancer cell linesbr
An aqueous root bark extract did not show any uterotonic or antiimplantation effect in vitrobr
"
21,Kandelia candel,Rhizophoraceae,,,,None knownh3
22,Kandelia obovata,Rhizophoraceae,,,,None known
23,Karwinskia calderonii,Rhamnaceae,,Huilihuiste,,None known
24,Keayodendron bridelioides,Phyllanthaceae,,,sap,"Phytochemical tests show the presence of traces of saponosidesbr
"
25,Kedrostis abdallai,Cucurbitaceae,,,,None known
26,Kedrostis foetidissima,Cucurbitaceae,,,,None known
27,Kedrostis leloja,Cucurbitaceae,,,,None known
28,Kedrostis pseudogijef,Cucurbitaceae,,,,None known
29,Kerianthera preclara,Rubiaceae,,,,None knownh3
30,Kermadecia rotundifolia,Proteaceae,,,,None known
31,Keteleeria evelyniana,Pinaceae,,,bark,"The resin of the bark is used for medicinebr
"
