,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Lablab purpureus,Fabaceae,,Hyacinth Bean,"stem,leave,flower,seed,pod","The plant though the exact part used is not stipulated is anticholesterolemic antidote to most forms of poison antivinous carminative hypoglycaemic Prolongs coagulation time It is used in the treatment of cholera vomiting diarrhoea leucorrhoea gonorrhoea alcoholic intoxication and globefish poisoningbr
br
The leaves are antidote cardiac emmenagogue and stomachic They are used to accelerate childbirth to treat stomach troubles and tonsillitis They are combined with the leaves ot other plants and taken in a decoction to treat heart problems They are crushed and sniffed to cure headachebr
The green leaves crushed in vinegar have been used to treat snakebitesbr
br
The flowers are antivinous alexiteric and carminativebr
br
The stem is used in the treatment of cholerabr
br
The juice from the pods is used to treat inflamed ears and throatsbr
br
The fully mature seeds are anthelmintic antispasmodic aphrodisiac astringent digestive febrifuge and stomachic They are used in the treatment of cholera sunstroke nausea vomiting diarrhoea enteritis abdominal pain alcoholism and arsenic poisoning The seed is well dried and then roasted before usebr
h3"
1,Labourdonnaisia lecomtei,Sapotaceae,,,"leave,bark,sap","A decoction of the bark is astringent It is used to treat haemorrhages and menstrual problemsbr
br
Compounds such as phenols leucoanthocyanins anthraquinones terpenes alkaloids and saponins have been detected in the bark and leaves of Labourdonnaisia speciesbr
"
2,Labourdonnaisia madagascariensis,Sapotaceae,,,"leave,bark,sap","Bark decoctions of all Labourdonnaisia species are astringent and used to treat haemorrhages and menstrual problemsbr
br
The bark of Labourdonnaisia madagascariensis contains tanninbr
Additional compounds such as phenols leucoanthocyanins anthraquinones terpenes alkaloids and saponins have been detected in the bark and leaves of other Labourdonnaisia species and it is likely that similar compounds also occur in Labourdonnaisia madagascariensisbr
"
3,Labourdonnaisia richardiana,Sapotaceae,,,"leave,bark,sap","A decoction of the bark is astringent It is used to treat haemorrhages and menstrual problemsbr
br
Compounds such as phenols leucoanthocyanins anthraquinones terpenes alkaloids and saponins have been detected in the bark and leaves of Labourdonnaisia speciesbr
"
4,Laccosperma opacum,Arecaceae,,Rattan Palm,,None known
5,Laccosperma secundiflorum,Arecaceae,,Large Rattan,,None known
6,Lacistema hasslerianum,Lacistemataceae,,,,None known
7,Lacmellea aculeata,Apocynaceae,,,latex,"The crude latex is drunk as an antidiarrhoeal and febrifugebr
"
8,Lacmellea edulis,Apocynaceae,,,,None known
9,Lacmellea floribunda,Apocynaceae,,,,None known
10,Lacmellea foxii,Apocynaceae,,,,None known
11,Lacmellea gracilis,Apocynaceae,,,,None known
12,Lacmellea klugii,Apocynaceae,,,,None known
13,Lacmellea oblongata,Apocynaceae,,,,None known
14,Lacmellea panamensis,Apocynaceae,,,latex,"The latex is used as a galactagogue to promote milk production in nursing mothersbr
"
15,Lacmellea peruviana,Apocynaceae,,,,None known
16,Lacmellea ramosissima,Apocynaceae,,,"latex,bark,sap,wood","The bark and sapwood when incised exude a viscid sweet latex said to be tapped during the rainy season for medicinal usebr
"
17,Lacmellea standleyi,Apocynaceae,,,,None known
18,Lacmellea utilis,Apocynaceae,,,"latex,bark","The bark is said to be febrifugebr
br
The latex is nutritive probably febrifugebr
"
19,Lactuca indica,Asteraceae,,Indian Lettuce,"leave,flower,whole plant,sap","The plant is digestive and tonicbr
br
The entire plant and especially the leaves is employed as a depurative and demulcent The leaves are used in the treatment of mastitis galactophoritis furunculosis and abscesses and are also effective in treating gastralgia and dyspepsiabr
A poultice of the pounded fresh leaves combined with some other plants is used externally as a demulcentbr
br
Although we have seen no specific reports for this species most if not all members of the genus have a milky sap that contains the substance lactucarium and can probably be used as the report below detailsbr
br
The whole plant is rich in a milky sap that flows freely from any wounds This hardens and dries when in contact with the air The sap contains lactucarium which is used in medicine for its anodyne antispasmodic digestive diuretic hypnotic narcotic and sedative properties Lactucarium has the effects of a feeble opium but without its tendency to cause digestive upsets nor is it addictive It is taken internally in the treatment of insomnia anxiety neuroses hyperactivity in children dry coughs whooping cough rheumatic pain etc Concentrations of lactucarium are low in young plants and most concentrated when the plant comes into flower It is collected commercially by cutting the heads of the plants and scraping the juice into china vessels several times a day until the plant is exhausted An infusion of the fresh or dried flowering plant can also be usedbr
The plant should be used with caution and never without the supervision of a skilled practitioner Even normal doses can cause drowsiness whilst excess causes restlessness and overdoses can cause death through cardiac paralysisbr
Some physicians believe that any effects of this medicine are caused by the mind of the patient rather than by the medicinebr
The sap has also been applied externally in the treatment of wartsbr
"
20,Lactuca indica dracoglossa,Asteraceae,,,"flower,whole plant,sap","The plant is digestive and tonicbr
Although we have seen no specific reports for this species most if not all members of the genus have a milky sap that contains the substance lactucarium and can probably be used as the report below detailsbr
br
The whole plant is rich in a milky sap that flows freely from any wounds This hardens and dries when in contact with the air The sap contains lactucarium which is used in medicine for its anodyne antispasmodic digestive diuretic hypnotic narcotic and sedative properties Lactucarium has the effects of a feeble opium but without its tendency to cause digestive upsets nor is it addictive It is taken internally in the treatment of insomnia anxiety neuroses hyperactivity in children dry coughs whooping cough rheumatic pain etc Concentrations of lactucarium are low in young plants and most concentrated when the plant comes into flower It is collected commercially by cutting the heads of the plants and scraping the juice into china vessels several times a day until the plant is exhausted An infusion of the fresh or dried flowering plant can also be usedbr
The plant should be used with caution and never without the supervision of a skilled practitioner Even normal doses can cause drowsiness whilst excess causes restlessness and overdoses can cause death through cardiac paralysisbr
Some physicians believe that any effects of this medicine are caused by the mind of the patient rather than by the medicinebr
The sap has also been applied externally in the treatment of wartsbr
"
21,Lactuca indica laciniata,Asteraceae,,,"flower,whole plant,sap","The plant is digestive and tonicbr
Although we have seen no specific reports for this species most if not all members of the genus have a milky sap that contains the substance lactucarium and can probably be used as the report below detailsbr
br
The whole plant is rich in a milky sap that flows freely from any wounds This hardens and dries when in contact with the air The sap contains lactucarium which is used in medicine for its anodyne antispasmodic digestive diuretic hypnotic narcotic and sedative properties Lactucarium has the effects of a feeble opium but without its tendency to cause digestive upsets nor is it addictive It is taken internally in the treatment of insomnia anxiety neuroses hyperactivity in children dry coughs whooping cough rheumatic pain etc Concentrations of lactucarium are low in young plants and most concentrated when the plant comes into flower It is collected commercially by cutting the heads of the plants and scraping the juice into china vessels several times a day until the plant is exhausted An infusion of the fresh or dried flowering plant can also be usedbr
The plant should be used with caution and never without the supervision of a skilled practitioner Even normal doses can cause drowsiness whilst excess causes restlessness and overdoses can cause death through cardiac paralysisbr
Some physicians believe that any effects of this medicine are caused by the mind of the patient rather than by the medicinebr
The sap has also been applied externally in the treatment of wartsbr
"
22,Lactuca inermis,Asteraceae,,,"root,leave","An infusion of the older leaves is drunk as a cure for venereal diseasesbr
br
An infusion of the boiled roots is drunk as a cure for venereal diseasesbr
The pulverized root is applied as a poultice to sores ulcers leprosy and eczemabr
br
A trace of alkaloid has been detected in the roots none in the leaves nor any other active principlebr
"
23,Lactuca schulzeana,Asteraceae,,,sap,"The sap of the inflorescence stalk is given to children as a vermifuge The dose is one coffeespoonfulbr
"
24,Lactuca schweinfurthii,Asteraceae,,,,None known
25,Lacunaria jenmanii,Ochnaceae,,,,None known
26,Lafoensia glyptocarpa,Lythraceae,,,,None knownh3
27,Lafoensia pacari,Lythraceae,,,root,"The roots are febrifuge and tonicbr
"
28,Lafoensia punicifolia,Lythraceae,,,,None known
29,Lagenaria breviflora,Cucurbitaceae,,,"root,stem,fruit","The stem when broken has an unpleasant smell and a decoction from it is said to be used in the treatment of headachesbr
br
The root is used as a purgative and vermifugebr
br
br
The fruit is extremely bitter and contains a strong amount of alkaloids It is used as a catharticbr
"
30,Lagenaria siceraria,Cucurbitaceae,,Bottle Gourd,"stem,leave,fruit,bark,pulp,flower,seed","The leaves are mixed in water with the bark of Caryocar microcarpum and the leaves of Elephantopus scaber and used as a footbath remedy for fungal infections and microfilaria worms The crushed leaves are used as a poultice on haemorrhoidal swellings A poultice of the crushed leaves has been applied to the head to treat headachesbr
br
The flowers are an antidote to poisonbr
br
The stem bark and the rind of the fruit are diureticbr
br
The fruit is antilithic diuretic emetic purgative and refrigerant The juice of the fruit is used in the treatment of typhus stomach acidity indigestion and ulcersbr
The fruit rind is used in a decoction with molasses to treat problems of the uterus or wombbr
br
The seed is diuretic and vermifuge A poultice of the boiled seeds has been used in the treatment of boils Taken with Achyranthes spp the seed is used to treat aching teeth and gums boils etcbr
br
The pulp around the seed is emetic and purgativebr
br
Extracts of the plant have shown antibiotic activity In many parts of China 3 grams per day of this species the report does not say what part of the plant has been used as a single treatment for diabetes mellitusbr
The plant contains bitter cucurbitacine triterpenoidsbr
The flowers contain the flavonol rutoside in the stigma and kaempferol in the pollenbr
h3"
31,Lagenaria sphaerica,Cucurbitaceae,,,"root,leave,fruit,seed,sap","An extract of the boiled roots is taken as a treatment for gonorrhoea An infusion made from two handfuls of a mixture of the roots combined with the roots of Bidens pilosa is taken internally or administered as an enema as a treatment for stomach achebr
Pounded root decoctions are used for treating swellings thought to be caused by blood disordersbr
A decoction of the roots is used to treat woundsbr
br
The fruit is reported to be an ingredient in a Xhosa remedy for glandular swellingsbr
br
An infusion from the fruits and leaves is used as a liniment to treat infections of the umbilical cord The leaves and fruits are used as a medicine for treating chickenpoxbr
br
An infusion made from two handfuls of a mixture of the leaves combined with the roots of Bidens pilosa is taken internally or administered as an enema as a treatment for stomach achebr
br
The seeds are used in a veterinary anthelminthicbr
br
Cucurbitacins B and D have been isolated from the fruits and roots with traces of other cucurbitacins in the fruitsbr
The fruits contain saponinsbr
The seeds are rich in oilbr
The bitter taste of the fruit is because of elaterase activitybr
"
32,Lagerstroemia calyculata,Lythraceae,,,,None known
33,Lagerstroemia floribunda,Lythraceae,,,,None known
34,Lagerstroemia hypoleuca,Lythraceae,,,,None known
35,Lagerstroemia indica,Lythraceae,,Crepe Myrtle,"root,stem,leave,bark,flower","The stem bark is febrifuge stimulant and stypticbr
br
The bark flowers and leaves are considered to be hydrogogue and a drastic purgative A paste of the flowers is applied externally to cuts and woundsbr
br
The root is astringent detoxicant and diureticbr
br
A decoction of the flowers is used in the treatment of coldsbr
h3"
36,Lagerstroemia microcarpa,Lythraceae,,,,None known
37,Lagerstroemia ovalifolia,Lythraceae,,,"leave,bark","The bark is used in the treatment of diarrhoeabr
br
The leaves are used in the treatment of malaria dermatosisbr
"
38,Lagerstroemia parviflora,Lythraceae,,,,None known
39,Lagerstroemia piriformis,Lythraceae,,Banabu,,None known
