,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Mabea fistulifera,Euphorbiaceae,,,"leave,bark,seed","The bark is bitter febrifuge resolvent and tonicbr
br
The oil from the seed is febrifugebr
br
The bruised leaves are applied as a poultice on old ulcers in order to clean them and induce regeneration of fresh tissuebr
h3"
1,Mabea pohliana,Euphorbiaceae,,,,None knownh3
2,Macadamia integrifolia,Proteaceae,,Macadamia,,None knownh3
3,Macadamia tetraphylla,Proteaceae,,Queensland Nut,,None knownh3
4,Macaranga aleuritoides,Euphorbiaceae,,,leave,"The leaves are used medicinally for a range of maladies and to induce abortionsbr
h3"
5,Macaranga alnifolia,Euphorbiaceae,,,leave,"An infusion of the leaves is used as a treatment for headaches and feeling coldbr
"
6,Macaranga angolensis,Euphorbiaceae,,,"bark,sap","The leaf sap is rubbed on painful spots sores and wounds or a vapour bath with the leaf decoction is taken to treat bronchitisbr
br
A bark infusion is drunk to treat hypermenorrhoea and dysmenorrhoeabr
"
7,Macaranga beillei,Euphorbiaceae,,,"leave,bark","The crushed leaves combined with the crushed aerial parts of Scleria boivinii and vegetable salt made from the bark of Calpocalyx aubrevillei are wrapped in the leaves of Thaumatococcus daniellii cooked and the decoction drunk as a treatment for coughbr
"
8,Macaranga capensis,Euphorbiaceae,,,leave,"The leaves are used to treat allergiesbr
"
9,Macaranga carolinensis,Euphorbiaceae,,,"leave,sap","A handful of the young leaves is crushed while fresh and the sap is taken four to five times per day to relieve stomach ache A handful of fresh young leaves combined with the leaves of Glochidion ramiflorum is crushed and the juice is drunk as a remedy for stomach ache The juice pressed from the leaves is drunk to relieve diarrhoeabr
For treating constipation four to six young leaves are crushed and the juice is drunk this report may have been misapplied to this species and may rightly belong to Citrus limonbr
br
An even number of leaves inflorescences and buds is crushed and mixed with a few drops of coconut oil The paste is then plastered onto a bruisebr
h3"
10,Macaranga conglomerata,Euphorbiaceae,,,,None known
11,Macaranga cuspidata,Euphorbiaceae,,,"stem,bark","The aromatic stem bark is crushed on insect bitesbr
"
12,Macaranga denticulata,Euphorbiaceae,,,leave,"A decoction of the leaves has been used to cleanse woundsbr
h3"
13,Macaranga echinocarpa,Euphorbiaceae,,,"stem,leave,bark","A stem bark infusion is taken to treat malaria The plant is also used to treat certain diseases of pigsbr
br
The leaves are used as a treatment for vomitingbr
"
14,Macaranga gigantea,Euphorbiaceae,,,"root,bark","A decoction of the root bark is used in the treatment of diarrhoea and dysenterybr
h3"
15,Macaranga graeffeana,Euphorbiaceae,,,leave,"The leaves are used medicinally for a range of maladies and to induce abortionsbr
h3"
16,Macaranga grandifolia,Euphorbiaceae,,Coral Tree,stem,"A resin obtained from the stems is used as an astringent gargle to treat ulcerated mouthsbr
"
17,Macaranga harveyana,Euphorbiaceae,,,leave,"The leaves are used medicinally for a range of maladies and to induce abortionsbr
h3"
18,Macaranga heterophylla,Euphorbiaceae,,,"root,leave,bark","Various parts of the plant are used as a purgativebr
The plant part not specified is used to treat snakebitesbr
br
The root is abortifacient and emmenagogue A root decoction is taken to treat amenorrhoea it is said to have a very rapid effectbr
br
A bark decoction is taken and used in a bath to treat coughbr
br
A decoction of young leaves is taken to treat gonorrhoeabr
h3"
19,Macaranga heudelotii,Euphorbiaceae,,,leave,"An infusion of ground leaves combined with lemon juice is drunk to treat gonorrhoea A leaf infusion is taken to treat diarrhoeabr
"
