,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Nageia fleuryi,Podocarpaceae,,,leave,"The leaves are used in medicine to cure coughbr
"
1,Nageia motleyi,Podocarpaceae,,,,None known
2,Nageia nagi,Podocarpaceae,,Nagi,,None known
3,Nageia wallichiana,Podocarpaceae,,,leave,"Leaves are used as a cure for coughs A decoction of the leaves is taken orally as treatment for painful jointsbr
"
4,Najas marina,Hydrocharitaceae,,Spiny Naiad,,None known
5,Napoleonaea heudelotii,Lecythidaceae,,Napoleon's Button,"fruit,bark","The macerated fruits are used to treat inguinal herniasbr
The rind of the fruit and the bark are chewed in the treatment of persistent coughsbr
"
6,Napoleonaea imperialis,Lecythidaceae,,Napoleon's Hat,,None known
7,Napoleonaea vogelii,Lecythidaceae,,Wallia,,None known
8,Naregamia alata,Meliaceae,,Goanese Ipecac,"root,stem,leave,bark","The root is cholagogue emetic and expectorant It is used in the treatment of rheumatism and acute dysenterybr
The root bark contains the alkaloid naregaminbr
br
The leaves and stems combined with bitters and aromatics are given in decoction for the treatment of biliousnessbr
"
9,Nashia inaguensis,Verbenaceae,,,,None known
10,Nasturtium officinale,Brassicaceae,,Watercress,leave,"Watercress is very rich in vitamins and minerals and has long been valued as a food and medicinal plant Considered a cleansing herb its high content of vitamin C makes it a remedy that is particularly valuable for chronic illnessesbr
br
The leaves are antiscorbutic depurative diuretic expectorant purgative hypoglycaemic odontalgic stimulant and stomachic The plant has been used as a specific in the treatment of TB The freshly pressed juice has been used internally and externally in the treatment of chest and kidney complaints chronic irritations and inflammations of the skin etc Applied externally it has a longstanding reputation as an effective hair tonic helping to promote the growth of thick hair A poultice of the leaves is said to be an effective treatment for healing glandular tumours or lymphatic swellings Some caution is advised excessive use of the plant can lead to stomach upsets The leaves can be harvested almost throughout the year and are used freshbr
"
11,Nastus elatus,Poaceae,,,,None known
12,Nauclea diderrichii,Rubiaceae,,Badi,"leave,bark","A decoction of the bark is used in the treatment of anaemia stomachache and indigestion The bark is used in an infusion to treat gonorrhoea and as part of an infusion for treating jaundicebr
br
A decoction of the leaves is used as a wash for measlesbr
h3"
13,Nauclea gilletii,Rubiaceae,,,,None known
14,Nauclea latifolia,Rubiaceae,,African Peach,"root,stem,leave,fruit,bark","Used in the treatment of diabetesbr
br
The root is febrifuge and tonic It is used in the treatment of fevers indigestionbr
br
The fruit is eaten as a cure for coughsbr
br
The bark and roots of the plant contain more than 1 of an opioid that is clinically identical to the analgesic drug tramadol It can be extracted in a costeffective way to provide an economical source of this widely used analgesicbr
br
Extracts of the plant have exhibited activity against Escherichia coli Shigella flexneri Salmonella typhi and Staphylococcus aureus which are responsible for gastroenteritis in childrenbr
The alkaloid strictosamine is obtained from the roots leaves and stem barkbr
h3"
