,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Oberonia caulescens,Orchidaceae,,,tuber,"Tubers are used to treat liver ailmentsbr
"
1,Obetia madagascariensis,Urticaceae,,,,"The leaf is used for treatment of eye diseasesbr
"
2,Obetia radula,Urticaceae,,,root,"The plant is often used in traditional medicine in Africabr
br
An infusion of the root is used in the treatment of infertility in women The boiled root is chewed as a remedy against premature ejaculationbr
br
The root and leaf are used in the treatment of coughbr
br
The leaf is crushed and the juice instilled in the nostrils for the treatment of madness The leaf juice or a leaf extract is used as mouthwash for the treatment of toothachebr
br
A decoction of unspecified plant parts is given as an antispasmodic in the case of whooping cough and asthmabr
br
Compounds isolated from the stinging hairs and possibly contributing to the stinging effect include histamine serotonin and acetylcholinebr
"
3,Obetia tenax,Urticaceae,,,"root,pulp","The root pulp is applied on snakebitesbr
"
4,Ochanostachys amentacea,Olacaceae,,Petaling,"root,leave,bark,seed","A decoction of the bark has been used medicinally against fever and after childbirthbr
br
Rheumatic fever has been treated by applying a paste of the roots with bark of Koompassia or by a bath prepared by using the leaves along with Koompassia bark and coriander Coriandrum sativum L seedbr
h3"
5,Ochlandra travancorica,Poaceae,,,,None knownh3
6,Ochna integerrima,Ochnaceae,,,"root,bark","The bittertasting bark is a digestive tonic It is also used to treat sore throatsbr
br
The  root is used as a cathartic for treating worms and as a medicine for treating lymphatic disordersbr
"
7,Ochna pulchra,Ochnaceae,,,,None known
8,Ochroma pyramidale,Malvaceae,,Balsa Wood,"root,bark","The root bark is emeticbr
h3"
9,Ochrosia ackeringae,Apocynaceae,,,,None known
10,Ochrosia acuminata,Apocynaceae,,,,None known
11,Ochrosia borbonica,Apocynaceae,,,,
12,Ochrosia coccinea,Apocynaceae,,,bark,"The bark contains the indole alkaloids ellipticine 9methoxyellipticine and reserpilinebr
Ellipticine and its derivatives possess anticancer properties against several experimental neoplasms as well as towards some human cancersbr
"
13,Ochrosia compta,Apocynaceae,,,,None known
