,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Pachira aquatica,Malvaceae,,Malabar Chestnut,"leave,fruit,bark,seed","The skin of the immature green fruit is used in the treatment of hepatitisbr
br
The seeds are used as an anaestheticbr
br
br
The bark is used medicinally to treat stomach complaints and headaches while A tisane from the boiled bark is used as a blood tonicbr
br
A cold water infusion of the crushed leaves is used to treat a burning sensation in the skinbr
"
1,Pachira glabra,Malvaceae,,Saba Nut,,None knownh3
2,Pachira insignis,Malvaceae,,,,None known
3,Pachycarpus schinzianus,Apocynaceae,,,"root,stem","The plant contains bittertasting gylcosides and is widely used in S Africa in the treatment of a wide range of ailmentsbr
br
The powdered root is a remedy for haemorrhoids Concoctions of the roots have been used to treat dropsy dysentery and even snakebitebr
The rootstock is mixed with the pounded root of Xysmalobium undulatum to make Uzara medicine which is used in the treamtent of diarrhoea dysentery and to soothe afterbirth cramps It is also used as a tonic for the cardiovascular systembr
Zulu people use the roots as a treatment for indigestion malaria and other fevers including typhoid feverbr
Xhosas use infusions of the root to treat colic and abdominal troubles and sniff the dried pounded roots to relieve headachesbr
br
All parts of the plant are extremely bitter and are used in various decoctions and infusions as an emetic diuretic and purgativebr
The plant is taken part not specified as a remedy against syphilis and as an aid to conceptionbr
"
4,Pachycarpus spurius,Apocynaceae,,,"leave,tuber","The pounded leaves are mixed with water and drunk as a galactogoguebr
br
The tuber is eaten by men to improve fertilitybr
"
5,Pachycereus pecten-aboriginum,Cactaceae,,,,None knownh3
6,Pachycereus pringlei,Cactaceae,,Cardon Gigante,,"It is probably this plant which is described by Clavigero Historia de la California 1789 under the name cardon Among other notes he remarks that the missionaries found a method of utilizing the branches for from a piece about two palms long they extracted by crushing the juice which they boiled down thus obtaining a balsam which is good for wounds and bruisesbr
h3"
7,Pachyelasma tessmannii,Fabaceae,,,"root,fruit,bark,sap","The fruit is abortifacient As a treatment for diarrhoea an extract of the ground fruits is administered as an enema or the macerated fruits are added to water and the patient takes a bath in the solutionbr
br
The methanol extract of the root bark exhibits molluscicidal propertiesbr
Four triterpene saponins pachyelasides A  D have been isolated from the root bark and each of them showed molluscicidal propertiesbr
The recent isolation of novel saponins from the root bark of Pachyelasma tessmannii will undoubtedly fuel interest in its pharmacology and as the fruits have the widest application in folk medicine research should also target the fruitsbr
"
8,Pachyptera kerere,Bignoniaceae,,,,None known
9,Pachyrhizus ahipa,Fabaceae,,Ahipa,,None known
10,Pachyrhizus erosus,Fabaceae,,Yam Bean,"root,stem,pulp,seed","A decoction of the roots is used as a diuretic and also in the treatment of fevers and haemorrhagesbr
br
A warmed poultice of the stem pulp is applied to painful areas in the legbr
br
The seeds are laxative A tincture made from seeds is used in the treatment of herpesbr
br
The oil obtained from the seeds is purgative in doses of 40 gmsbr
br
The seed is known to contain rotenoids flavonoids and phenylfuranocoumarins which have been shown to have antifungal antisecretory antibacterial and spasmolytic activities A study has shown CNS depressant effect with decreased locomotor activity muscle relaxation antianxiety and antiaggressive activitybr
Another study has shown moderate antiherpes simplex virus activitybr
h3"
11,Pachyrhizus tuberosus,Fabaceae,,Jicama,,None known
12,Pachystroma longifolium,Euphorbiaceae,,,,None known
13,Paederia bojeriana,Rubiaceae,,,,None known
14,Paederia foetida,Rubiaceae,,Skunk Vine,"root,stem,leave,fruit,bark,seed","The leaves are widely used in Asia and SouthEast Asia where they are especially valued for treating digestive problems Considerable research has been carried out into the medicinal benefits of the plants with several active compounds having been recordedbr
Several iridoid glucosides such as asperuloside scandoside and paederoside have been isolated from the aerial parts of the plant These glucosides have displayed antitumor activity with paederoside displaying the highest degree of antitumorpromoting activity Scandoside has been shown to promote the growth of lettuce seedlings Paederoside showed a similar inhibitory activity to that of asperuloside and daecetylasperulosidic acid in a plant growth inhibition test and in an antimicroorganism activity testbr
The bruised aerial parts of the plant have the fetid odour of indole methylmercaptan Damage to the tissue releases an enzyme which splits off this sulphurcontaining group from paederoside and is therefore responsible for the unpleasant odour The most abundant sulphurcontaining compound was dimethyl disulphidebr
The presence of alkaloids and an essential oil have also been recorded Monoterpenes such as linalol constitute the major components in the oilbr
In older investigations decoctions of the plant showed significant antiinflammatory action against arthritis The decoction also exhibited marked activity against degenerative osteoarthritisbr
The water soluble fraction of the aerial parts displayed antiinflammatory activity in oedema It failed to exhibit any analgesic or antipyretic action and showed no ulcerogenic potentialbr
An ethanolic extract of the leaves has shown anticancer activity against human epidermoid carcinoma of the nasopharynx br
A methanol extract of the leaves has shown hepatoprotective potential being effective in reversing 6 out of 12 common biochemical enzymatic parameters assessedbr
Another study has shown that the plant has antidiarrhoeal activity acting by inhibiting intestinal motility  thus supporting its use in traditional medicinebr
br
The leaves are anodyne antirheumatic antivinous astringent carminative depurative diuretic restorative and vermifuge They are commonly used for the treatment of intestinal complaints such as abdominal pain colic cramps flatulence and dysentery and are also used for treating rheumatism and gout The leaves are also used to treat infertility and paralysis The leaves and stems are also used as a diuretic for inflammation of the urethra For treating intestinal problems the fresh leaves are pounded water added and the filtered infusion is drunk regularly till convalescencebr
The plant is considered to have great restorative powers and the leaves may thus be mixed with food boiled and eaten  in India they are often boiled in soup to lessen their smellbr
Applied externally the leaves are used to treat swellings and bruises in general and are mashed then applied for earache ulcerations of the nose and swollen eyes They are used as a poultice for treating a swollen belly distension herpes or ringworm and are used in antirheumatic baths They are applied to the abdomen as a diuretic and also as a solvent for vesical stonesbr
br
The juice of the leaves is considered astringent and is used to treat diarrhoea in childrenbr
br
The bark and the root are considered to be emetic The juice of the root is prescribed in cases of indigestion piles inflammation of the spleen and pain in the chest and liver It may help to eliminate poisons collected in the systembr
br
In some parts of India the fruit is used to blacken teeth and it is also considered a medicine to prevent and treat toothachebr
"
15,Pajanelia longifolia,Bignoniaceae,,Pajanelia,leave,"A decoction of the leaves is used s a treatment against feverbr
A hot decoction of the leaves is used externally against stomach disordersbr
h3"
16,Palaquium amboinense,Sapotaceae,,,,None known
17,Palaquium beccarianum,Sapotaceae,,,,None known
18,Palaquium burckii,Sapotaceae,,,,None known
19,Palaquium calophyllum,Sapotaceae,,,,None known
20,Palaquium clarkeanum,Sapotaceae,,,,None known
21,Palaquium cochleariifolium,Sapotaceae,,,,None known
22,Palaquium dasyphyllum,Sapotaceae,,,,None known
23,Palaquium ellipticum,Sapotaceae,,,,None known
24,Palaquium eriocalyx,Sapotaceae,,,,None known
25,Palaquium fidjiense,Sapotaceae,,,,None known
26,Palaquium foxworthyi,Sapotaceae,,,,None known
27,Palaquium galactoxylum,Sapotaceae,,,,None known
28,Palaquium gigantifolium,Sapotaceae,,,,None known
29,Palaquium grande,Sapotaceae,,,seed,"An oil pressed from the seeds is used for medicinal purposesbr
"
30,Palaquium gutta,Sapotaceae,,Gutta-Percha,,None known
31,Palaquium herveyi,Sapotaceae,,,,None known
32,Palaquium hexandrum,Sapotaceae,,,,None known
33,Palaquium hispidum,Sapotaceae,,,,None known
34,Palaquium hornei,Sapotaceae,,,,None known
35,Palaquium impressionervium,Sapotaceae,,,,None known
36,Palaquium lanceolatum,Sapotaceae,,,,None known
37,Palaquium leiocarpum,Sapotaceae,,Jongkang,,None known
38,Palaquium luzoniense,Sapotaceae,,Red Nato,,None known
39,Palaquium macrocarpum,Sapotaceae,,,,None known
40,Palaquium maingayi,Sapotaceae,,,,None known
41,Palaquium merrillii,Sapotaceae,,,,None known
42,Palaquium microphyllum,Sapotaceae,,,,None known
43,Palaquium mindanaense,Sapotaceae,,Nato,,None known
44,Palaquium obovatum,Sapotaceae,,,,None known
45,Palaquium ottolanderi,Sapotaceae,,,,None known
46,Palaquium oxleyanum,Sapotaceae,,,,None known
47,Palaquium philippense,Sapotaceae,,,,None known
48,Palaquium porphyreum,Sapotaceae,,,,None known
49,Palaquium pseudocuneatum,Sapotaceae,,,,None known
50,Palaquium pseudorostratum,Sapotaceae,,,,None known
51,Palaquium quercifolium,Sapotaceae,,,,None known
52,Palaquium regina-montium,Sapotaceae,,,,None known
53,Palaquium ridleyi,Sapotaceae,,,,None known
54,Palaquium rostratum,Sapotaceae,,,,None known
55,Palaquium semaram,Sapotaceae,,,,None known
56,Palaquium sericeum,Sapotaceae,,,,None known
57,Palaquium stellatum,Sapotaceae,,,,None known
58,Palaquium tenuipetiolatum,Sapotaceae,,,,None known
59,Palaquium vitilevuense,Sapotaceae,,,,None known
60,Palaquium walsurifolium,Sapotaceae,,,,None known
61,Palaquium warburgianum,Sapotaceae,,,,None known
62,Palaquium xanthochymum,Sapotaceae,,,,None known
63,Pancheria billardierei,Cunoniaceae,,,,None known
64,Pancheria engleriana,Cunoniaceae,,,,None known
65,Pancheria ternata,Cunoniaceae,,,,None known
66,Panda oleosa,Pandaceae,,Panda,"root,leave,bark,seed","Several parts of the plant are used in traditional medicinebr
In screening tests the bark of Panda oleosa exhibited HIVinhibitory activity The  antiHIV activity was probably mainly produced by tanninsbr
br
The bark is antiinflammatory analgesic and aphrodisiac It is used internally to treat abdominal troubles threatened abortion intestinal parasites and blennorrhoeabr
It is applied externally to treat rheumatism wounds yaws sores whitlow swellings and haemorrhoidsbr
br
A root decoction is taken against bronchial affectionsbr
br
The seed oil is applied to ulcers The pounded roasted seeds are applied to burnsbr
br
A leaf infusion is used as an enema to treat dysmenorrhoea The pounded leaves are rubbed on the body as a tonicbr
"
67,Pandanus amaryllifolius,Pandanaceae,,Fragrant Pandan,"root,leave","The leaves are diuretic and cardiotonic An infusion is used as a sedative against restlessness and is also a traditional treatment for diabetesbr
Externally the leaves are used in the treatment of skin diseases as a relaxing soak to counter restlessness They are soaked in coconut oil the oil is then employed as an embrocation for rheumatic troublesbr
br
Three piperidine alkaloids have been isolated and identified from the leaves of fragrant pandan The application of the leaves as an antidiabetic drug seems linked to 4hydroxybenzoic acid which has been isolated from Pandanus amaryllifolius roots It shows hypoglycaemic effects and increases serum insulin levels and liver glycogen contentbr
"
68,Pandanus antaresensis,Pandanaceae,,,,None known
69,Pandanus aquaticus,Pandanaceae,,,,None known
70,Pandanus brosimos,Pandanaceae,,Kaun,,None known
71,Pandanus candelabrum,Pandanaceae,,,,None known
72,Pandanus castaneus,Pandanaceae,,Faket,,None known
73,Pandanus conoideus,Pandanaceae,,,,"A vegetable fat extracted from the pericarp is used as a medicine and tonicbr
"
74,Pandanus dubius,Pandanaceae,,,,"The young shoots are used in the treatment of food poisoningbr
"
75,Pandanus edulis,Pandanaceae,,,,None known
76,Pandanus foveolatus,Pandanaceae,,,,None known
77,Pandanus furcatus,Pandanaceae,,,leave,"The leaves are used as a remedy for snake bitesbr
"
78,Pandanus galorei,Pandanaceae,,,,None known
79,Pandanus gemmifer,Pandanaceae,,Pup Pandan,,None known
80,Pandanus guillaumetii,Pandanaceae,,,,None known
81,Pandanus houlletii,Pandanaceae,,,,None known
82,Pandanus iwen,Pandanaceae,,Iwen,,None known
83,Pandanus julianettii,Pandanaceae,,,,None known
84,Pandanus kaernbachii,Pandanaceae,,,,None known
85,Pandanus kajui,Pandanaceae,,,,None knownh3
86,Pandanus kirkii,Pandanaceae,,,,None known
87,Pandanus krauelianus,Pandanaceae,,,,None known
88,Pandanus leptopodus,Pandanaceae,,Ankomorika,,"The leaf is used for removing parasitic worms in humansbr
"
89,Pandanus leram,Pandanaceae,,Nicobar Breadfruit,leave,"The tender young leaves are pounded with coconut oil and rubbed on the body to remove fatiguebr
"
90,Pandanus limbatus,Pandanaceae,,Tum,,None known
91,Pandanus luzonensis,Pandanaceae,,Pandan,"root,leave","The roots are stomachicbr
br
A decoction of the tips of fresh or dried prop roots is used as a diureticbr
Thee pounded prop roots combined with the leaves of Mentha arvensis in water is used as a stomachicbr
"
92,Pandanus odorifer,Pandanaceae,,Padang,root,"The leaf bud is diuretic It is taken internally as a poultice for boils Contradictory  a poultice is externalbr
br
The roots are diuretic depurative and tonic They are taken internallybr
h3"
93,Pandanus papuanus,Pandanaceae,,,,None known
94,Pandanus polycephalus,Pandanaceae,,,leave,"The leaves are used as a treatment against food poisoning especially from seafood such as fishes and crabsbr
"
95,Pandanus rabaiensis,Pandanaceae,,,,None knownh3
96,Pandanus radicans,Pandanaceae,,,,None known
97,Pandanus simplex,Pandanaceae,,Calaquimay.,,None known
98,Pandanus solmslaubachii,Pandanaceae,,,,None known
99,Pandanus spiralis,Pandanaceae,,,,None known
100,Pandanus tectorius,Pandanaceae,,Screwpine,"root,leave,bark,flower,sap","The aerial roots yield a decoction that is used as a beverage in the treatment of blennorrhoea This decoction combined with urethral injections of the sap of the base of the banana plant is said to be a rapid cure for this maladybr
br
The bark is scraped in Zingiber leaf and the juice extracted into a cup This liquid is drunk as a sedative for patients with mental health problemsbr
br
A decoction of the roots is used to treat haemorrhoidsbr
A small portion of the young root is heated over a fire then crushed on a smooth stone  the extracted juice is applied to the bites or wounds caused by any fish beings said to ease the pain and promote healingbr
br
The leaves especially the basal white section of young leaves are used in treatments for coldflu hepatitis dysuria asthma boils and cancerbr
br
The male flowers are said to have aphrodisiac propertiesbr
h3"
101,Pandanus utilis,Pandanaceae,,Bacona,root,"Root decoctions are used as a remedy against venereal diseasesbr
br
The cooked male inflorescences are considered to have aphrodisiac propertiesbr
h3"
102,Pangium edule,Salicaceae,,Pangi,"leave,fruit,bark,seed","The glucosides contained in the plant although toxic also have several medical applications In particular they have antiseptic properties and the crushed fresh seeds can be used to sterilize wounds They are also applied externally as a poultice to boilsbr
br
The leaves are antiseptic They are crushed and used externally to steralize wounds treat skin parasites etc They are heated on a fire then placed around the head and covered with a cloth as a remedy for head licebr
br
The juice of the fruit is applied topically to sores and cutsbr
br
The crushed bark from a mature tree is cooked in a soup and then given to lactating mothers Their breast milk is then believed to help the young child to become stronger and more resistant to illnessbr
The inner bark is heated over a hot stone and the vapour produced is used as a steam bath to bring relief to swollen and painful jointsbr
"
103,Panicum antidotale,Poaceae,,Blue Panic Grass,,"The smoke of the burning plant is used to fumigate wounds and as a disinfectant in the treatment of smallpox and throat infectionsbr
h3"
104,Panicum coloratum,Poaceae,,,,None knownh3
105,Panicum decompositum,Poaceae,,Native Millet,,None known
106,Panicum kalaharense,Poaceae,,,,None known
107,Panicum laetum,Poaceae,,,,None knownh3
108,Panicum maximum,Poaceae,,,sap,"The plant is said to be diuretic laxative and preventitive It is used in the treatment of heartburn and tympanitisbr
br
Sap from the crushed fresh plant is used as a cicatrisant on wounds and soresbr
br
The grass is tied around the head in order to bring relief from a headachebr
"
109,Panicum miliaceum,Poaceae,,Broom Millet,"root,seed","The seed is cooling and demulcent The cooked seed is applied as a poultice for abscesses sores etc whilst juice from chewed seeds is applied to childrens soresbr
The seed is also incinerated and mixed with oil then used as a poultice that is said to heal sores without leaving a scarbr
br
A decoction of the root is used as an antidote to poisoning by Momordica spp it is also used to treat haematuria in women and as a bath for skin eruptionsbr
"
110,Panicum repens,Poaceae,,Torpedo Grass,,None knownh3
111,Panicum sumatrense,Poaceae,,,,None known
112,Panicum trichanthum,Poaceae,,,rhizome,"The aromatic rhizome is diuretic emollient and excitantbr
"
113,Panicum trichocladum,Poaceae,,Donkey Grass,,None knownh3
