,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Qualea acuminata,Vochysiaceae,,,,None known
1,Qualea brevipedicellata,Vochysiaceae,,,,None known
2,Qualea caerulea,Vochysiaceae,,,,None known
3,Qualea cordata,Vochysiaceae,,,,None known
4,Qualea cryptantha,Vochysiaceae,,,,None knownh3
5,Qualea dichotoma,Vochysiaceae,,,,None known
6,Qualea dinizii,Vochysiaceae,,,,None known
7,Qualea glaziovii,Vochysiaceae,,,,None known
8,Qualea gracilior,Vochysiaceae,,,,None known
9,Qualea grandiflora,Vochysiaceae,,,,None known
10,Qualea homosepala,Vochysiaceae,,,,None known
11,Qualea ingens,Vochysiaceae,,,,None knownh3
12,Qualea megalocarpa,Vochysiaceae,,,,None known
13,Qualea multiflora,Vochysiaceae,,,,None known
14,Qualea paraensis,Vochysiaceae,,,,None known
15,Qualea parviflora,Vochysiaceae,,,,None known
16,Qualea rosea,Vochysiaceae,,,,"A resin obtained from the tree is used as a purgativebr
"
17,Qualea sprucei,Vochysiaceae,,,,None knownh3
18,Quararibea asterolepis,Malvaceae,,,,None known
19,Quararibea cordata,Malvaceae,,South American Sapote,,None knownh3
20,Quararibea funebris,Malvaceae,,,"fruit,flower","The flowers and fruits are used in local medicine to control fevers and to alleviate menstruation painsbr
"
21,Quararibea obliquifolia,Malvaceae,,,,None known
22,Quararibea pterocalyx,Malvaceae,,,,None known
23,Quararibea turbinata,Malvaceae,,,"leave,wood","The woodashes are mixed with the leaves of tobacco Nicotiana tabacum and then macerated in a small amount of water and eaudeCologne  they are then used to reinforce the narcotic effect of tobaccobr
"
24,Quassia africana,Simaroubaceae,,,"root,leave,bark","The leaves and the bark of the root are very bitter They are used as a tonic as an appetizer and also as a vermifugebr
Chloroform and ethyl acetate extracts of the plant have shown pronounced antiviral activity against Herpes simplex Semliki forest Coxsackie and Vesicular stomatitis viruses This activity was produced at least in part by the quassinoid simakikalactone Dbr
"
25,Quassia amara,Simaroubaceae,,Bitterwood,,
26,Quassia gabonensis,Simaroubaceae,,,"leave,bark,seed","A mixture of the pounded leaves combined with palm oil is rubbed on the head as a treatment against head licebr
br
A decoction of the bark is taken as a treatment against stomachache bronchitis and lung complaintsbr
The ground bark mixed with palm oil is applied as a salve to treat psoriasis The head is washed with a maceration of the bark as a treatment for head licebr
Cytotoxic quassinoids have been isolated from the barkbr
br
Fat extracted from the seeds is made into various medicinesbr
"
27,Quassia grandifolia,Simaroubaceae,,,"stem,leave,fruit,bark,seed","The fruit peel and leaves are used as a tonicbr
br
The seed oil is used as a lotion against licebr
br
The stem bark contains quassinoids with antineoplastic properties The main quassinoid compound is glaucarubinbr
The stem bark also contains indole alkaloids which have anticancer and antimicrobial propertiesbr
An alcohol extract of the stem bark showed significant activity in vivo against leukaemia and human throat cancer cells in vitrobr
"
28,Quassia silvestris,Simaroubaceae,,,,None known
29,Quassia undulata,Simaroubaceae,,Mjoho,"root,stem,leave,fruit,bark,seed,sap","Mjoho is a bittertasting plant that is often used in African traditional medicine Modern research has shown the presence of various medically active substances in the plantbr
Stem stem bark and root bark extracts and various quassinoids isolated from the plant have shown antimalarial activity against Plasmodium falciparum and Plasmodium bergheibr
The quassinoid 15desacetylundulatone isolated from the root bark has shown antitumor activity against P388 mouse lymphocytic leukaemia cells and colon 38 adenocarcinomabr
Eniotorin a coumarin also isolated from the root bark has shown antimalarial properties in vitrobr
Alkaloids have been isolated from the root barkbr
Hexane and methanol extracts of the leaves and stems exhibited marked antibacterial and antifungal activities inhibiting the growth of Aspergillus niger Escherichia coli Staphylococcus aureus and Streptococcus faecalisbr
The quassinoid chaparrinone has shown invitro antiviral activity against the carcinogenic Rous sarcoma virus RSVbr
br
The stem bark or root bark are considered to be antidote and purgative as well as a treatment against leprosy A decoction is drunk as a treatment against fever cough and stomach complaints such as colicbr
A maceration or decoction of the stem bark is used as a wash for children to prevent abscessesbr
A maceration or decoction of the stem bark root bark combined with the leaves is drunk or used in baths in cases of insanity or dementiabr
Sap from the root bark diluted in water is used as an enema against stomach problemsbr
br
Root extracts are used for eye treatments and as aphrodisiac br
br
A decoction of leaves is used as a stimulant and for the treatment of rickets ankylosis and varicose veinsbr
br
The fruit is used as a treatment against nocturnal enuresis br
A mixture of the ground fruit or kernel mixed with oil is rubbed into the hair against head lice The ash of the burnt fruit mixed with shea butter is used similarlybr
br
The seed is considered poisonous but in Nigeria it is taken against feverbr
"
