,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Radermachera xylocarpa,Bignoniaceae,,,,None known
1,Rafflesia patma,Rafflesiaceae,,,flower,"The flowerheads are astringentbr
"
2,Ramisia brasiliensis,Nyctaginaceae,,,,None knownh3
3,Randia aculeata,Rubiaceae,,,"fruit,latex","The fruits are used in the treatment of dysenterybr
br
A latex oftained from the plant is reported to effectively stop bleedingbr
br
An unspecified part of the plant is used to control feverbr
h3"
4,Randia armata,Rubiaceae,,Jagua Macho,,None known
5,Randia echinocarpa,Rubiaceae,,,fruit,"The fruit is considered to be a remedy for malariabr
"
6,Randia ferox,Rubiaceae,,,,None knownh3
7,Raphanus sativus,Brassicaceae,,Radish,"root,leave,flower,seed","Radishes have long been grown as a food crop but they also have various medicinal actions The roots stimulate the appetite and digestion having a tonic and laxative effect upon the intestines and indirectly stimulating the flow of bile Consuming radish generally results in improved digestion but some people are sensitive to its acridity and robust actionbr
br
The plant is used in the treatment of intestinal parasites though the part of the plant used is not specifiedbr
br
The leaves seeds and old roots are used in the treatment of asthma and other chest complaintsbr
br
The juice of the fresh leaves is diuretic and laxativebr
br
The seed is carminative diuretic expectorant laxative and stomachic It is taken internally in the treatment of indigestion abdominal bloating wind acid regurgitation diarrhoea and bronchitisbr
The root is antiscorbutic antispasmodic astringent cholagogue digestive and diuretic It is crushed and used as a poultice for burns bruises and smelly feet Radishes are also an excellent food remedy for stone gravel and scorbutic conditions The root is best harvested before the plant flowers Its use is not recommended if the stomach or intestines are inflamedbr
br
The plant contains raphanin which is antibacterial and antifungal It inhibits the growth of Staphylococcus aureus E coli streptococci Pneumococci etc The plant also shows antitumour activitybr
h3"
8,Raphanus sativus caudatus,Brassicaceae,,Rat-Tail Radish,"root,leave,flower,seed","Radishes have long been grown as a food crop but they also have various medicinal actions The roots stimulate the appetite and digestion having a tonic and laxative effect upon the intestines and indirectly stimulating the flow of bile Consuming radish generally results in improved digestion but some people are sensitive to its acridity and robust actionbr
br
The plant is used in the treatment of intestinal parasites though the part of the plant used is not specifiedbr
br
The leaves seeds and old roots are used in the treatment of asthma and other chest complaintsbr
br
The juice of the fresh leaves is diuretic and laxativebr
br
The seed is carminative diuretic expectorant laxative and stomachic It is taken internally in the treatment of indigestion abdominal bloating wind acid regurgitation diarrhoea and bronchitisbr
br
The root is antiscorbutic antispasmodic astringent cholagogue digestive and diuretic It is crushed and used as a poultice for burns bruises and smelly feet Radishes are also an excellent food remedy for stone gravel and scorbutic conditions The root is best harvested before the plant flowers Its use is not recommended if the stomach or intestines are inflamedbr
br
The plant contains raphanin which is antibacterial and antifungal It inhibits the growth of Staphylococcus aureus E coli streptococci Pneumococci etc The plant also shows antitumour activitybr
h3"
9,Raphanus sativus niger,Brassicaceae,,Oriental Radish,"root,leave,flower,seed","Radishes have long been grown as a food crop but they also have various medicinal actions The roots stimulate the appetite and digestion having a tonic and laxative effect upon the intestines and indirectly stimulating the flow of bile Consuming radish generally results in improved digestion but some people are sensitive to its acridity and robust actionbr
br
The plant is used in the treatment of intestinal parasites though the part of the plant used is not specifiedbr
br
The leaves seeds and old roots are used in the treatment of asthma and other chest complaintsbr
br
The juice of the fresh leaves is diuretic and laxativebr
br
The seed is carminative diuretic expectorant laxative and stomachic It is taken internally in the treatment of indigestion abdominal bloating wind acid regurgitation diarrhoea and bronchitisbr
br
The root is antiscorbutic antispasmodic astringent cholagogue digestive and diuretic It is crushed and used as a poultice for burns bruises and smelly feet Radishes are also an excellent food remedy for stone gravel and scorbutic conditions The root is best harvested before the plant flowers Its use is not recommended if the stomach or intestines are inflamedbr
br
The plant contains raphanin which is antibacterial and antifungal It inhibits the growth of Staphylococcus aureus E coli streptococci Pneumococci etc The plant also shows antitumour activitybr
h3"
