,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Saba comorensis,Apocynaceae,,Rubber Vine,"root,leave,fruit,latex,bark,sap","A decoction of the bark is used in treating rheumatismbr
br
A decoction of the root is used as a vermifuge and as part of a snakebite remedy The decoction is drunk as a treatment for rheumatism and infertility in women Combined with other substances it is used as a remedy for gonorrhoeabr
br
A decoction of the leaves is used as a laxative The leaves are pounded soaked in cold water and the infusion used to treat hypertensionbr
br
The fruits are sucked as a treatment for oral thrush Eating the fruit is said to cure pimplesbr
br
The milky sap combined with that of Diplorhynchus condylocarpon is traditionally drunk as a galactagogue Such a practice must surely rest on a knowledge that the local plants do not produce latex which will coagulate in the intestines and cause occlusionbr
The latex is used externally to heal sores and is also applied to maturate abscesses In some areas the latex is dripped into the eyes to improve visionbr
h3"
1,Saba senegalensis,Apocynaceae,,,"root,stem,leave,fruit,latex,bark,tuber","The latex from the plant is antitussive and emetic It is used to treat pulmonary troubles and tuberculosis The stem on cutting is immediately placed in a gourd with the right amount of water and as the latex expissates the word is not in any dictionary I have seen the gourd is shaken so that an emulsion of the latex is made which is drunkbr
br
The leaves are eaten to stop vomitingbr
A steambath made from the leaves is used as an inhalant to treat chronic headache and is also used for the eyes to try to stall off approaching blindnessbr
The leaves after crushing and soaking in water are applied as a haemostatic antiseptic and cicitrisant dressing to woundsbr
br
Leaf and barkdecoctions are taken in the treatment of dysenteriform diarrhoea and foodpoisoning and with other plants is put into leprosy medicationsbr
br
The roots are considered a good treatment for urethral dischargesbr
The powdered rootbark is used externally to heal sores it being held particularly efficacious for treating burns on childrenbr
br
Women eat a macerate of the fruits along with other drug plants as a sterility treatment This may be a belief in the Theory of Signatures hinging on the ovoid ‘pregnant’ shape of the fruitsbr
"
2,Sabal bermudana,Arecaceae,,,,None known
3,Sabal causiarum,Arecaceae,,,,None known
4,Sabal domingensis,Arecaceae,,,,None known
5,Sabal gretherae,Arecaceae,,,,None known
6,Sabal maritima,Arecaceae,,,,None known
7,Sabal mauritiiformis,Arecaceae,,,,None known
8,Sabal mexicana,Arecaceae,,Mexican Palmetto,,None known
9,Sabal minor,Arecaceae,,Bush Palmetto,root,"The crushed small root juice has been rubbed into sore eyes as a counterirritantbr
A decoction of the dried root has been taken in the treatment of high blood pressure and kidney problemsbr
"
10,Sabal palmetto,Arecaceae,,Cabbage Palmetto,seed,"The berries and seeds have been used in the treatment of grass sickness low fever headaches and weight lossbr
"
11,Sabal pumos,Arecaceae,,,,None known
12,Sabal yapa,Arecaceae,,,,None known
13,Saccharum arundinaceum,Poaceae,,Sweetcane,,"The plant is used medicinallybr
h3"
14,Saccharum edule,Poaceae,,Lowland Pitpit,,None known
15,Saccharum officinarum,Poaceae,,Sugarcane,"stem,leave","The leaf ash is used to treat sore eyesbr
br
The stem juice is used to treat sore throats The sweet juice in the stem is used to treat snakebite and wounds from poison arrows Mixed with an infusion of wallaba Eperua sp it is used to treat curare poisoningbr
br
A decoction of the young leaves is used to treat urinary conditionsbr
h3"
16,Saccharum sinense,Poaceae,,Chinese Sugarcane,,None known
17,Saccharum spontaneum,Poaceae,,Wild Sugarcane,,None knownh3
18,Sacoglottis gabonensis,Humiriaceae,,,"stem,leave,bark,sap","The stembark is a popular and much used medicine in west Africa An infusion is used as an emetic and in the treatment of fevers diarrhoea gonorrhoea and abdominal pain  it is also sometimes used to treat hypertension and diabetes A bark decoction is used to treat stomachache It is used as a spice in food to induce heat in nursing and pregnant mothersbr
A decoction of the crushed bark combined with the leaves of Dioscorea minutiflora are used as a rectal enema to treat acute abdominal painbr
Applied externally a decoction of the stem bark is used to cure difficult cases of dermatitis A stem bark decoction combined with other plants is added to bath water to treat ovarian troubles vaginal infections and children with feversbr
br
The diluted stem sap is used in hipbaths to promote muscle tone in women after childbirthbr
br
Bergenin an isocoumarin has been identified as the main active compound of the stem bark The bark also contains appreciable amounts of tannins with a trace of saponins They have also revealed the presence of 2 cistrans isomers of lignans calopiptine and galgravine which may play a role in cancer preventionbr
The stem bark extract is reported to have hepatoprotective propertiesbr
A stem bark extract added to drinking water of rats increased prothrombin and thrombin levels of blood plasmabr
"
19,Sacoglottis guianensis,Humiriaceae,,,,"The plant part not specified is said to be antirheumatic and a treatment for goutbr
"
20,Sadleria cyatheoides,Blechnaceae,,,,"The plant has a range of medicinal usesbr
h3"
21,Sageraea elliptica,Annonaceae,,,,None known
22,Sageraea laurina,Annonaceae,,,leave,"The leaves are used as a fomentation in the treatment of rheumatismbr
"
23,Sageretia thea,Rhamnaceae,,,"stem,leave","The leaves and stems contain various medicinally active compounds that have cytotoxic properties and are of potential use in the treatment of cancerbr
The leaves and stems have also been shown to have antioxidant activitybr
"
24,Sagittaria latifolia,Alismataceae,,Duck Potato,"root,leave","A poultice of the leaves has been used to stop milk productionbr
br
A tea made from the roots is used as a digestive A poultice of the roots is used in the treatment of wounds and soresbr
"
25,Sagittaria trifolia,Alismataceae,,Arrow Head,tuber,"The plant is antiscorbutic diureticbr
br
The leaf is used to treat a variety of skin problemsbr
br
The tuber is discutient galactofuge and may induce premature birthbr
"
26,Sakoanala madagascariensis,Fabaceae,,,,None known
27,Salacca griffithii,Arecaceae,,,,None known
28,Salacca secunda,Arecaceae,,,,None known
29,Salacca wallichiana,Arecaceae,,Rakum Palm,,None knownh3
30,Salacca zalacca,Arecaceae,,Salak Palm,,None knownh3
31,Salacia chinensis,Celastraceae,,,root,"The roots are abortifacient and astringent A decoction is used as a treatment against amenorrhoea and to normalize menstruation in general and is also given in order to invigorate the circulationbr
"
32,Salacia cordata,Celastraceae,,Chuchuhuaso,fruit,"The fruit has some medicinal applicationsbr
"
33,Salacia elliptica,Celastraceae,,Siputa,,None known
34,Salacia grandiflora,Celastraceae,,,root,"A decoction from the roots is used after childbirthbr
"
35,Salacia korthalsiana,Celastraceae,,,root,"A decoction from the roots is drunk as a treatment against cracked lipsbr
"
36,Salacia leptoclada,Celastraceae,,,,None known
37,Salacia luebbertii,Celastraceae,,,"root,leave","A decoction of the roots is used in the treatment of chest painsbr
br
A strong allpurpose medicine is made with the leaves and roots in combination with other herbs such as the roots of Securidaca longepedunculata plus the roots and leaves of Diospyros chamaethamnusbr
"
38,Salacia macrophylla,Celastraceae,,,"root,leave","A decoction of the roots is used after childbirthbr
br
The pounded leaves are applied on the skin as a treatment against bellyache and eczemabr
"
39,Salacia oblongifolia,Celastraceae,,,,None known
40,Salacia oliveriana,Celastraceae,,,,None known
41,Salacia ovalis,Celastraceae,,,,None known
42,Salacia pyriformis,Celastraceae,,,,None known
43,Salacia sessiliflora,Celastraceae,,,,None known
44,Salacia viminea,Celastraceae,,,,None known
45,Salicornia pachystachya,Amaranthaceae,,,,"It is said that juice of the fresh plant is an excellent diureticbr
"
46,Salix humboldtiana,Salicaceae,,Sauce,bark,"The bark has been used medicinally It contains salicylic acid from which aspirin has been derived The bark has antiinflammatory propertiesbr
h3"
47,Salix mucronata,Salicaceae,,,"leave,bark","The leaf is a mild laxative A tea is made to treat rheumatism Used as a laxative in human and veterinary medicinebr
br
The powdered bark is applied to burns and brewing tea from the leaves to treat rheumatism The tea also acts as a mild laxativebr
"
48,Salix tetrasperma,Salicaceae,,,"leave,bark","The dried and powdered leaves are applied as a remedybr
br
It is said to be used against fever as a matter of fact the crystalline glucosid salicin occurs in many Salixes andbr
is a febrifugebr
br
A decoction is used cold for ulceration of the nose br
Apparently no one has yet examined the bark for salicinbr
h3"
49,Salmea scandens,Asteraceae,,,root,"Much used in the decoction of local medicines in Guatemalabr
br
Chewing the root deadens all sensation in the tongue This is used as a remedy for toothachebr
"
50,Salpichroa origanifolia,Solanaceae,,Cock's Eggs,,None knownh3
51,Salvadora oleoides,Salvadoraceae,,,"root,leave,fruit,bark,seed","The bruised rootbark has a vesicant effectbr
br
The seed oil is applied topically in the treatment of rheumatic pains it is also used in the preparation of suppositories and as a base for ointmentsbr
The seeds contain a thioglucoside glucotropaeolin which is related to mustard oilbr
br
The leaves are used to relieve coughbr
The leaves are heated and then tied up in a cloth with those of Vitex trifolia and applied as a poultice on areas affected by rheumatism They are a favorite domestic remedy for the treatment of rheumatic painsbr
br
The fruits are alterative digestive lithotripic They are used in the treatment of enlarged spleen rheumatism tumours kidney and gallbladder stones and feverbr
h3"
52,Salvadora persica,Salvadoraceae,,Mustard Tree,"root,leave,fruit,latex,bark,seed,wood","The plant is used internally in the treatment of colds skin complaints urinary problems syphilis intestinal parasites constipation enlarged spleen poor appetite menstrual problems rheumatism and arthritis The plant is used to treat poisonous bites bruises and for oral hygienebr
br
The leaves of the mustard tree are an astringent stimulant herb that is diuretic expectorant and depurativebr
Externally the leaves are used to treat abscesses and swellings br
Both leaves and bark can be used to destroy parasitesbr
The leaves are harvested as required for immediate use and can also be dried for laterbr
br
The wood promotes healing The bark of the root is acrid and vesicant A latex obtained from the bark is used for treating soresbr
The bark and wood is harvested as required then dried and powdered for later usebr
br
A decoction of the root is used to treat gonorrhoea spleen trouble and general stomachache The roots are also used for treating chest diseasesbr
Applied externally the roots are vesicant They are pounded and used as a poultice to heal boilsbr
br
The fruits are pungent and bitter They are used to improve the appetite and bowel function and to regulate the menstrual cyclebr
The fruits and the seed stimulate the circulationbr
br
The seeds are tonicbr
The seed oil is applied to the skin to relieve rheumatismbr
The seeds are harvested when ripe and can be used fresh or driedbr
h3"
53,Salvertia convallariodora,Vochysiaceae,,,,None knownh3
54,Salvia chiapensis,Lamiaceae,,,,None known
55,Salvia clinopodioides,Lamiaceae,,,,None known
56,Salvia columbariae,Lamiaceae,,Chia,seed,"The seed is digestive disinfectant febrifuge and ophthalmic An infusion can be used in the treatment of fevers A poultice of the seed mush can be applied to infectionsbr
br
The seeds have been kept in the mouth and chewed during long journeys on foot in order to give strengthbr
br
The seeds have been used to cleanse the eyes or remove foreign matter from the eyes No more information is given here but in other instances the seed has been placed in the eye it then forms a gelatinous covering to which any foreign matter in the eye adheres The seed is washed out of the eye by the eyes own tearsbr
"
57,Salvia divinorum,Lamiaceae,,,,None known
58,Salvia dorisiana,Lamiaceae,,,,None known
59,Salvia elegans,Lamiaceae,,Pineapple Sage,,None knownh3
60,Salvia gesneriiflora,Lamiaceae,,,,None known
61,Salvia hispanica,Lamiaceae,,Mexican Chia,seed,"The following notes are for the related Salvia columbariae They almost certainly also apply to this speciesbr
br
The seed is digestive disinfectant febrifuge and ophthalmic An infusion can be used in the treatment of fevers A poultice of the seed mush can be applied to infectionsbr
The seeds have been kept in the mouth and chewed during long journeys on foot in order to give strengthbr
The seeds have been used to cleanse the eyes or remove foreign matter from the eyes No more information is given here but in other instances the seed has been placed in the eye it then forms a gelatinous covering to which any foreign matter in the eye adheres The seed is washed out of the eye by the eyes own tearsbr
"
62,Salvia mexicana,Lamiaceae,,,,None known
63,Salvia microphylla,Lamiaceae,,Blackcurrant Sage,"leave,flower","An infusion of the flowers and leaves have been used in the treatment of feversbr
h3"
64,Salvia occidentalis,Lamiaceae,,Field Basil,leave,"The plant has a strong and disagreeable odour and largely on that account probably finds common use in domestic medicinebr
A decoction of the leaves is used in the treatment of stomach pains and dysenterybr
h3"
65,Salvia officinalis,Lamiaceae,,Sage,"stem,leave,flower","Sage has a very long history of effective medicinal use and is an important domestic herbal remedy for disorders of the digestive system Its antiseptic qualities make it an effective gargle for the mouth where it can heal sore throats ulcers etc The leaves applied to an aching tooth will often relieve the painbr
br
The whole herb is antihydrotic antiseptic antispasmodic astringent carminative cholagogue galactofuge stimulant tonic and vasodilator Sage is also used internally in the treatment of excessive lactation night sweats excessive salivation as in Parkinsons disease profuse perspiration as in TB anxiety depression female sterility and menopausal problems Many herbalists believe that the purpleleafed forms of this species are more potent medicinallybr
This remedy should not be prescribed to pregnant women or to people who have epileptic fits The plant is toxic in excess or when taken for extended periods  though the toxic dose is very largebr
Applied externally the plant is used to treat insect bites skin throat mouth and gum infections and vaginal dischargebr
The leaves are best harvested before the plant comes into flower and are dried for later usebr
br
The essential oil from the plant is used in small doses to remove heavy collections of mucous from the respiratory organs and mixed in embrocations for treating rheumatism In larger doses however it can cause epileptic fits giddiness etcbr
The essential oil is used in aromatherapy Its keyword is Tonicbr
h3"
66,Salvia plebeia,Lamiaceae,,,seed,"The plant is astringent diuretic and vermifuge A paste of the plant is applied to wounds between the toes caused by prolonged walking barefoot in muddy waterbr
br
Concoctions from the mucilage of the wetted seeds are used medicinallybr
The seeds are said to increase sexual powers They are used in the treatment of diarrhoea gonorrhoea menorrhagia and haemorrhoidsbr
"
67,Salvia potus,Lamiaceae,,,,None known
68,Salvia serotina,Lamiaceae,,,,"The plant is used as a remedy for earachebr
"
69,Salvia tiliifolia,Lamiaceae,,Tarahumara Chia,,"The herb is used for killing head licebr
"
70,Samadera indica,Simaroubaceae,,,"leave,bark,seed,wood","The bark is used in the treatment of feversbr
The juice of the pounded bark is considered a cure for skin diseasesbr
br
After maceration or in decoction the bark and wood are used as a febrifuge tonic stomachic and emmenagoguebr
br
A decoction of the leaves is taken to relieve coughbr
The leaves are bruised and then applied externally as a treatment for erysipelas The macerated leaves mixed with coconut oil are used to kill head licebr
br
The seeds in particular are of medicinal importance and are commonly applied as an emetic and purgative They are used in the treatment of bilious feversbr
The oil from the seeds is applied externally on rheumatic joints and used as a liniment on bruisesbr
br
All parts of the plant contain the glucoside samaderin and a bitter substancebr
"
71,Samanea saman,Fabaceae,,Rain Tree,"leave,fruit,bark,seed,tuber","A decoction of the inner bark and fresh leaves is used as a treatment for diarrhoeabr
br
A brew of small sections of the bark is taken to treat stomachachebr
br
A crude aqueous or alcoholic extract of the leaves is observed to have an inhibiting effect on Mycobacterium tuberculosis The alkaloid fraction of the leaves is effective on the CNS and PNS An infusion of the leaves is used as a laxativebr
A decoction of the fresh material is used as a wash in the treatment of skin problems such as dermatitis eczema and pruritusbr
br
The fruit decoction is used as a CNSsedativebr
br
The seeds are chewed for treating a sore throatbr
h3"
72,Samanea tubulosa,Fabaceae,,,,None knownh3
73,Sambucus australis,Adoxaceae,,Southern Elder,"leave,flower","The leaves are diuretic and sudorific An infusion is used to treat indigestionbr
br
The flowers are diuretic antipyretic antiinflammatory mildly laxative They are used to treat respiratory diseasesbr
"
