,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Tabebuia aurea,Bignoniaceae,,,,None known
1,Tabebuia bahamensis,Bignoniaceae,,,leave,"The leaves make a soothing tea for body strains and achesbr
br
Tabebuia bahamensis has properties that are antifungal antibiotic and anticarcinogenicbr
br
The plant is anodyne and diureticbr
"
2,Tabebuia cassinoides,Bignoniaceae,,,root,"The root is used in the treatment of intestinal catarrh chronic enteritis diarrhoea and dysentery It improves the appetite facilitates digestion and treats anaemiabr
h3"
3,Tabebuia elliptica,Bignoniaceae,,,,None known
4,Tabebuia gemmiflora,Bignoniaceae,,,,None known
5,Tabebuia haemantha,Bignoniaceae,,,,None known
6,Tabebuia heterophylla,Bignoniaceae,,,,None knownh3
7,Tabebuia insignis,Bignoniaceae,,,bark,"The bark is used in the treatment of malaria An infusion is used for treating skin diseases and syphilisbr
h3"
8,Tabebuia nodosa,Bignoniaceae,,,wood,"This tree is unusual in the genus for being without any lapachol in its wood Lapachol has acquired a high reputation for its medicinal usesbr
h3"
9,Tabebuia obtusifolia,Bignoniaceae,,,"root,bark","The bark is diureticbr
br
The root is used to treat chronic enteritis diarrhoea dysentery and intestinal catarrh It is also taken to increase the appetite aid the digestion and treat anaemiabr
h3"
10,Tabebuia rosea,Bignoniaceae,,,,None knownh3
11,Tabebuia roseoalba,Bignoniaceae,,,,None knownh3
12,Tabebuia stenocalyx,Bignoniaceae,,,,None known
13,Tabernaemontana africana,Apocynaceae,,,,None known
14,Tabernaemontana alba,Apocynaceae,,,,None known
15,Tabernaemontana albiflora,Apocynaceae,,,"stem,leave,bark","The stems is grated and used in a plaster as a treatment for headache It is mixed with the bark of Erythrina fusca and used in a tampon to relieve the pain of cavities in aching teethbr
br
A decoction of the leaves combined with the bark of Bonafousia tetrastachya is used as an antirheumatic It is macerated in rum to produce an application for swollen feetbr
br
Alkaloids present in the stembark include ibophyllidine coronaridine albifloranine pandoline and vincadifforminebr
"
16,Tabernaemontana amygdalifolia,Apocynaceae,,,leave,"An infusion of the leaves sometimes is administered as a laxative in the treatment of biliousnessbr
"
17,Tabernaemontana angulata,Apocynaceae,,,"latex,bark","The bark is macerated for the latex it contains this is employed as an hallucinogenbr
"
18,Tabernaemontana arborea,Apocynaceae,,,"leave,sap","The leaves and sap are laxative and purgative A decoction is taken in the treatment of feversbr
"
19,Tabernaemontana aurantiaca,Apocynaceae,,,sap,"The plant sap mixed with coconut oil is used as a vesicantbr
"
