,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Uapaca acuminata,Phyllanthaceae,,,,None known
1,Uapaca ferruginea,Phyllanthaceae,,,,None known
2,Uapaca guineensis,Phyllanthaceae,,Sugar Plum,"root,leave,fruit,bark,pulp","The leaves pulped with palmoil are used externally as a massage to maturate furuncles and to relieve migraine and rheumatism They are also used to massage children who are late in learning to walkbr
br
A decoction of the rootbark is taken by mouth or by enema for treating oedemas and gastrointestinal troubles Bark decoctions are also used as a treatment for female sterility toothtroubles rheumatism piles and as a strengthener to rachitic or premature babies Used in enemas it is said to be antiemeticbr
A lotion made from the root bark with salt is used in the treatment of skincomplaints including leprosy The powdered bark is used to treat nasal cancerbr
br
The roots are considered antiabortive aphrodisiac to be a good treatment for male impotence and to be expectorant A preparation is recommended for young women in labour A tisane made from the roots is given as a treatment for rhinopharyngeal and pulmonary affections flu with headache and to relieve feverpains while the affected parts are also embrocated with the leesbr
An inhalation of steam from water in which the roots are boiled is said to relieve headachebr
br
The unripe fruit used while the capsule is still green and spongy is used in coughmedicinesbr
h3"
3,Uapaca heudelotii,Phyllanthaceae,,,"root,stem,leave,bark,pulp,sap","The inner bark contains a sticky red sap A barkextract is used on skinaffections and as an emeticbr
br
A stem or rootbarkdecoction is used in the treatment of female sterility foodpoisoning rheumatism localised oedemas and rachitic and premature babies It is applied as an enema in the treatment of haemorrhoidsbr
The decoction is used as a mouthwash and gargle for treating toothtroublesbr
br
The leaves or the bark are pulped with palmoil for external application to furuncles migraines and rheumatism it is also used as a massage for children who are late in learning to walkbr
br
A quantity of saponin is present in the leaves but there are no reports of other active principlesbr
br
The plant part not specified is used to promote intelligencebr
h3"
4,Uapaca kirkiana,Phyllanthaceae,,Wild Loquat,root,"An infusion made from the roots is used to treat indigestion and dysenterybr
h3"
5,Uapaca mole,Phyllanthaceae,,,"root,stem,leave,bark,pulp","A root infusion is used to treat headache caused by fever Painful parts are embrocated with the crushed roots to ease the pain A root infusion is considered expectorant and taken to treat a blocked nose pulmonary afflictions flu with headache fever and feverpains  the body is also massaged with the lees of the infusionbr
br
A root bark or stem bark decoction is drunk to treat female sterility dysentery and foodpoisoning It is also used as a mouth wash to treat toothache as a vapour bath to treat rheumatism and oedema as an enema to treat piles and in baths to strengthen rachitic and premature childrenbr
br
Pulped leaves or stem bark with palm oil are applied to furuncles to mature them to treat migraine and rheumatism and are used as a massage on children who are late in learning to walkbr
"
6,Uapaca niangadoumae,Phyllanthaceae,,,,None known
7,Uapaca nitida,Phyllanthaceae,,,,None known
8,Uapaca pynaertii,Phyllanthaceae,,,,None known
9,Uapaca sansibarica,Phyllanthaceae,,,bark,"An extract of the bark is used in the treatment of diarrhoeabr
"
10,Uapaca staudtii,Phyllanthaceae,,,,None known
11,Uapaca togoensis,Phyllanthaceae,,,,None known
12,Uapaca vanhouttei,Phyllanthaceae,,,,None known
13,Ulex europaeus,Fabaceae,,Gorse,"flower,seed","Gorse has never played much of a role in herbal medicine though its flowers have been used in the treatment of jaundice and as a treatment for scarlet fever in childrenbr
br
The seed is said to be astringent and has been used in the treatment of diarrhoea and stonesbr
br
The plant is used in Bach flower remedies  the keywords for prescribing it are Hopelessness and Despairbr
h3"
14,Ullucus tuberosus,Basellaceae,,Olluco,,None known
15,Ulmus mexicana,Ulmaceae,,Membrillo,bark,"The bark is astringent It is used locally in the treatment of coughsbr
"
16,Uncaria gambir,Rubiaceae,,Gambier,leave,"Gambier is used as an astringent and styptic An infusion of the fresh leaves is given as a treatment against diarrhoea and dysentery This infusion is also used as a gargle for sore throats and inflamed gumsbr
It is applied externally in lotions for burns and in a paste for scurf  External application against sciatica and lumbago is reported from Borneobr
br
The maximum yield of crude gambier is 65 of the leaf weight When used alone in tanning gambier produces a rather spongy leather However it is very suitable for both light and heavy leathers if mixed or blended with other tanning materials such as wattle Acacia spp extract or myrobalans Terminalia spp Gambier is also suitable for preserving fishing nets The tannin has algicidal properties as well as antibacterial and antifungal activity Antiherpetic activity has also been reported Several indole alkaloids some unidentified have been extracted from leaf materials These may have a narcotic effect Gambier is used for soga batik dyeing but the brownish colour only develops if a diazonium salt is addedbr
h3"
17,Uncaria guianensis,Rubiaceae,,Cat's Claw,"stem,leave,bark,whole plant,tuber","Cats claw has a long history of traditional use being employed in the treatment of a range of conditions including inflammations especially rheumatism arthritis urinary tract infections and gastric ulcers It has also been used as a blood purifier to cleanse the kidneys to recover from childbirth or treat menstrual irregularities as a treatment for asthmabr
Applied externally it is used as a wash for wounds in order to promote healing to cleanse the skin of impurities etcbr
The plant is widely used in modern herbal medicine where it is primarily valued for its stimulatory effect upon the immune system The part most commonly used is the stem barkbr
Cats claw has many modern applications which is a common trait of herbs with immune stimulatory activity and includes disease prevention cancer recovery from chemotherapy side effects recovery from childbirth urinary tract infections wounds fevers haemorrhages and weakness Applications for cat’s claw which have had some clinical research include viral infections pain and symptoms of Herpes infections and for inflammatory conditions such as Rheumatoid arthritisbr
Research has shown that the plant is antiinflammatory immune system stimulant cytoprotective and antioxidantbr
br
The plant is astringent An infusion of the whole plant is drunk to remedy dysenterybr
The plant is burned and powdered then used on wounds It is made into a gargle to remedy mouth ulcersbr
br
The leaves are used in the treatment of tuberculosis coughs and coldsbr
br
The plant contains tanninsbr
"
18,Uncaria tomentosa,Rubiaceae,,Cat's Claw,"stem,bark,whole plant","Cats claw has a long history of traditional use being employed in the treatment of a range of conditions including inflammations especially rheumatism arthritis urinary tract infections and gastric ulcers It has also been used as a blood purifier to cleanse the kidneys to recover from childbirth or treat menstrual irregularities as a treatment for asthmabr
Applied externally it is used as a wash for wounds in order to promote healing to cleanse the skin of impurities etcbr
The plant  is widely used in modern herbal medicine where it is primarily valued for its stimulatory effect upon the immune system The part most commonly used is the stem barkbr
Cats claw has many modern applications which is a common trait of herbs with immune stimulatory activity and includes disease prevention cancer recovery from chemotherapy side effects recovery from childbirth urinary tract infections wounds fevers haemorrhages and weakness Applications for cat’s claw which have had some clinical research include viral infections pain and symptoms of Herpes infections and for inflammatory conditions such as Rheumatoid arthritisbr
Research has shown that the plant is antiinflammatory immune system stimulant cytoprotective and antioxidantbr
br
The whole plant is used in a gargle to remedy mouth ulcersbr
"
19,Uniola paniculata,Poaceae,,Sea Oats,,None knownh3
20,Uniola virgata,Poaceae,,,,None known
21,Unonopsis guatterioides,Annonaceae,,,"stem,bark","The bark is used to treat snakebitebr
A decoction of the scented stem bark is used in an external wash as a treatment for feversbr
br
The plant contains polycarpolbr
"
22,Unonopsis veneficiorum,Annonaceae,,,,"The plant is said to be an ingredient of a contraceptive formulabr
"
23,Uraria crinita,Fabaceae,,,"root,leave,whole plant","This species is often used in traditional medicine with different plant parts being used to cure a range of conditions including dysentery and diarrhoea enlarged spleen and liver tumours It is also applied against pustules and fistulaebr
br
The whole plant is used medicinally for stopping bleeding reducing fever and relieving coughs It is effective in driving out intestinal worms and other parasites and is sometimes used as a carminative for childrenbr
br
A decoction of the roots is used in the treatment of diarrhoeabr
br
The crushed leaves are applied externally to rid the hair of licebr
h3"
24,Uraria lagopodioides,Fabaceae,,,"root,leave,whole plant","A widely used medicinal plant in E Asiabr
br
A decoction of the leaves and roots is used for the treatment of dysentery and diarrhoeabr
br
An aqueous extract of the leaves has abortifacient propertiesbr
br
Aqueous and alcoholic extracts of the plants are used to treat intermittent fever and chest inflammationbr
br
The whole plant is used medicinally for relieving swellingbr
h3"
25,Uraria picta,Fabaceae,,,"root,leave","The roots are used as a sedative and to invigorate the liver and spleenbr
br
The pounded leaves are used in the treatment of gonorrhoeabr
br
The plant is said to be an antidote to the bites of phursa snakes in Indiabr
"
26,Urceola brachysepala,Apocynaceae,,,,None known
27,Urceola elastica,Apocynaceae,,,,None known
28,Urceola lucida,Apocynaceae,,,,None known
29,Urceola micrantha,Apocynaceae,,,"root,bark","The bark and roots are used for the treatment of infantile paralysis rheumatalgia injury and fracturesbr
"
30,Urceola napeensis,Apocynaceae,,,,None known
31,Urceola torulosa,Apocynaceae,,,,None known
32,Urena lobata,Malvaceae,,Bur Mallow,"root,leave,bark,flower,whole plant,seed,twig","The plant is commonly used in traditional medicine with the leaves and roots most commonly employedbr
br
The juice of the leaves or roots is used widely to treat bowel complaints especially colic stomachache diarrhoea and dysentery and also to treat gonorrhoea and persistent fever from malaria A decoction from the leaves and roots is drunk to relieve pains all over the body due to excessive exertion A decoction of a very old plant boiled with eggs is said to induce abortionbr
A lotion made from the plant is used to treat yaws and headache The whole plant is macerated and used externally for treating fractures wounds mastitis and snake bitesbr
br
The leaves are diuretic emollient refrigerant styptic vulnerary They are used to treat inflammation of the intestines and bladderbr
The leaves are used externally as a poultice on wounds and skin diseasesbr
br
The roots are diuretic An infusion is given to aid difficult childbirth The roots are used to treat rheumatism and lumbago A decoction of the root is used to treat colds dysentery enteritis goitre indigestion leucorrhoea malaria rheumatism and tonsillitisbr
Used externally they are chewed and applied to swellings caused by filariasisbr
br
The twigs are chewed to treat toothachebr
br
The bark is used to heal cutsbr
br
The flowers are considered maturative and are taken in decoction as a pectoral and expectorant in dry coughsbr
An infusion of the flowers is used as a gargle for aphthae and a sore throatbr
br
A decoction of the seeds is taken as a vermifugebr
h3"
33,Urena sinuata,Malvaceae,,,,None known
34,Urera acuminata,Urticaceae,,,,"The plant part not specified is used in the treatment of granular endometriosisbr
"
35,Urera aurantiaca,Urticaceae,,,,"The plant is diureticbr
"
