,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Vaccinium calycinum,Ericaceae,,,"root,leave,fruit","To treat stomach pains the leaf buds leaves and fruit are combined with the leaf buds and leaves of Canavalia cathartica or Dioclea wilsonii the leaf buds leaves and fruit  of Rumex spp the root of Curcuma longa coconut Cocos nucifera and white sugarcane Saccharum officinarum by pounding into a mash The mixture is strained with Cyperus javanicus and drunk once in the morning and again in the eveningbr
"
1,Vaccinium dentatum,Ericaceae,,,"root,leave,fruit","To treat stomach pains the leaf buds leaves and fruit are combined with the leaf buds and leaves of Canavalia cathartica or Dioclea wilsonii the leaf buds leaves and fruit  of Rumex spp the root of Curcuma longa coconut Cocos nucifera and white sugarcane Saccharum officinarum by pounding into a mash The mixture is strained with Cyperus javanicus and drunk once in the morning and again in the eveningbr
"
2,Vaccinium floribundum,Ericaceae,,Mortiño,,None known
3,Vaccinium gitingense,Ericaceae,,,,None known
4,Vaccinium leucanthum,Ericaceae,,,,None known
5,Vaccinium littoreum,Ericaceae,,,,None known
6,Vaccinium meridionale,Ericaceae,,,,None known
7,Vaccinium miquelii,Ericaceae,,,,None known
8,Vaccinium myrtoides,Ericaceae,,,,None known
9,Vaccinium reticulatum,Ericaceae,,,"root,leave,fruit","To treat stomach pains the leaf buds leaves and fruit are combined with the leaf buds and leaves of Canavalia cathartica or Dioclea wilsonii the leaf buds leaves and fruit  of Rumex spp the root of Curcuma longa coconut Cocos nucifera and white sugarcane Saccharum officinarum by pounding into a mash The mixture is strained with Cyperus javanicus and drunk once in the morning and again in the eveningbr
"
10,Vaccinium whitfordii,Ericaceae,,,,None known
11,Vachellia abyssinica,Fabaceae,,Umbrella Thorn,"stem,bark","The plant has medicinal uses No more information is givenbr
br
The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
h3"
12,Vachellia amythethophylla,Fabaceae,,,"root,stem,bark,wood","The roots are astringent and laxative They are used in the treatment of diarrhoeabr
br
Extracts of the wood are used for healing wounds and skin infectionsbr
br
The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
"
13,Vachellia anegadensis,Fabaceae,,,"stem,bark","The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
"
14,Vachellia bidwillii,Fabaceae,,Corkwood Wattle,"stem,bark","The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
h3"
15,Vachellia bussei,Fabaceae,,,"stem,bark","The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
"
16,Vachellia caven,Fabaceae,,Roman Cassie,"stem,bark","The cooked bark applied as a poultice can heal sores and woundsbr
br
The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
h3"
17,Vachellia cornigera,Fabaceae,,,"stem,bark","The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
"
18,Vachellia drepanolobium,Fabaceae,,,"root,stem,bark","The bark and roots have medicinal usesbr
The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
h3"
19,Vachellia elatior,Fabaceae,,,"stem,bark","A decoction of the bark is used to treat diarrhoea and gonorrhoea and also as a remedy for coughsbr
br
The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
h3"
20,Vachellia erioloba,Fabaceae,,Camel Thorn,"root,bark,pod,tuber","The gum obtained from the tree is used as a cure for gonorrhoeabr
br
The bark is burned crushed and then used for relieving headachebr
br
The pods are ground into a powder to treat ear infectionsbr
br
The roots are used as a cough remedy and to treat tuberculosis The fresh fine roots are chewed to relieve strong pain anywhere in the body including toothache or are taken to combat severe diseasesbr
h3"
21,Vachellia etbaica,Fabaceae,,,"stem,leave,bark","The bark is chewed as a stimulant and is also used in the treatment of gonorrhoeabr
br
The leaves are used externally for the treatment of wounds and skin diseasesbr
br
The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
"
22,Vachellia farnesiana,Fabaceae,,Sweet Acacia,"root,leave,bark,pulp,flower,seed,pod,tuber","The bark is astringent and demulcent It is used in the treatment of coughsbr
A decoction of the bark is used as a bath in the treatment of typhoid The juice of the bark is applied topically to treat swellings bleeding gums etcbr
br
The gummy roots have been chewed as a treatment for sore throat A decoction of the root is used as a remedy for tuberculosisbr
A decoction of the gum from the trunk has been used in the treatment of diarrhoeabr
br
The flowers have been used as an antispasmodic emetic stimulant and stomachic They are taken by women in Java after giving birth An infusion is used in the treatment of dyspepsia and neuroses A decoction is used to treat a prolapsed rectum and is taken as an injection in the treatment of leucorrhoeabr
The flowers are added to an ointment which is rubbed on the forehead to treat headachesbr
br
The tender leaves are bruised with a little water and then swallowed as a treatment against gonorrhoea and affections of the bladderbr
The powdered dried leaves have been applied externally as a treatment for wounds A decoction of the leaves is used as a wash to treat ulcers and sores after which the young leaves are then applied as a poulticebr
br
The green seedpods are very astringent A decoction has been used in the treatment of dysentery and inflammations of the skin and mucous membranes An infusion of the pod has been used in the treatment of sore throats diarrhoea leucorrhoea conjunctivitis and uterorrhagiabr
br
The pulp of the pods is used in France as a purgativebr
h3"
23,Vachellia flava,Fabaceae,,,"stem,bark","A gum obtained from the plant is used as an emollientbr
br
The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
"
24,Vachellia hebeclada,Fabaceae,,,root,"The roots with the outer layer removed are commonly used within the plants native range They are a strong remedy for treating chest pain and persistent coughing The roots are used as a remedy for diarrhoeabr
br
The plant has been used as a remedy for leprosybr
"
25,Vachellia hockii,Fabaceae,,,"root,leave,bark,tuber","The plant part not specified is used to treat malaria and is applied topically to treat abscessesbr
br
The boiled bark is given to children as a treatment for feverbr
br
The root is analgesic febrifuge stomachic vermifuge A decoction is used as a remedy for hookworm and also for the treatment of tuberculosis and related ailmentsbr
br
The leaves and young shoots are diuretic vermifuge They are used to treat dropsy gout oedema and swellingsbr
h3"
26,Vachellia jacquemontii,Fabaceae,,,"stem,bark","The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent Astringents are often used medicinally  taken internally for example they are used in the treatment of diarrhoea and dysentery and can also be helpful in cases of internal bleeding Applied externally often as a wash they are used to treat wounds and other skin problems haemorrhoids perspiring feet some eye problems as a mouth wash etcbr
Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems This is sometimes taken internally in the treatment of diarrhoea and haemorrhoidsbr
h3"
