,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Xanthocercis madagascariensis,Fabaceae,,,,None known
1,Xanthocercis rabiensis,Fabaceae,,,,None known
2,Xanthocercis zambesiaca,Fabaceae,,,,None known
3,Xanthophyllum affine,Polygalaceae,,,,None known
4,Xanthophyllum amoenum,Polygalaceae,,,fruit,"A paste of the fruit is applied to painful areas on the body to relieve the painbr
"
5,Xanthophyllum discolor,Polygalaceae,,,,None known
6,Xanthophyllum ecarinatum,Polygalaceae,,,,None known
7,Xanthophyllum flavescens,Polygalaceae,,,bark,"The bark is used in the treatment of colicbr
h3"
8,Xanthophyllum lanceatum,Polygalaceae,,,,None known
9,Xanthophyllum obscurum,Polygalaceae,,,,None known
10,Xanthophyllum rufum,Polygalaceae,,,,None known
11,Xanthophyllum stipitatum,Polygalaceae,,,,None known
12,Xanthophyllum vitellinum,Polygalaceae,,,,None known
13,Xanthosoma brasiliense,Araceae,,Belembe,,None known
14,Xanthosoma caracu,Araceae,,Caracu,,None known
15,Xanthosoma sagittifolium,Araceae,,Tania,,None knownh3
16,Xanthosoma striatipes,Araceae,,,,None known
17,Xanthosoma violaceum,Araceae,,Blue Taro,,None known
18,Xanthostemon oppositifolius,Myrtaceae,,,,None known
19,Xanthostemon speciosus,Myrtaceae,,,,None known
20,Xanthostemon verdugonianus,Myrtaceae,,Mangkono,,None known
21,Xanthostemon verus,Myrtaceae,,Iron Wood,,None known
22,Xantolis tomentosa,Sapotaceae,,,,None known
23,Xenostegia tridentata,Convolvulaceae,,,"root,leave,whole plant,seed,sap","The plant is bitter astringent calefacient laxative purgative and tonic It obviously has some claim to anodynal if not analgesic effectbr
br
A decoction of the whole plant gives rapid relief and cure from various ophthalmias It is combined with natron for treating gonorrhoeabr
br
The leaves are taken as an antidote for snakebitebr
The leaves are made into a poultice that is applied to the head in cases of fever and also applied to snakebitesbr
br
The whole plant or the roots are used for treating rheumatism and dysentery A decoction of the roots is used as a mouthwash for relieving toothache The whole plant or the roots is used to treat hemiplegia piles swellings and urinary disordersbr
Sap from the grated roots is used to treat various ophthalmiasbr
br
The roasted seeds are anthelminthic diuretic and antibiliousbr
"
24,Xeroderris stuhlmannii,Fabaceae,,,"root,leave,bark","The bark is purgative It is used in traditional medicine to treat coughs colds rheumatic arthritis stomachache dysentery eye infections woundsbr
br
The roots are vermifuge A decoction is used as a treatment for internal parasites elephantiasis gonorrhoea syphilis dysmenorrhoea chest pains and urinary complaintsbr
A root decoction is applied externally against ringworm The pounded roots are applied to soresbr
br
The leaves are used to treat colds coughs wounds stomach problems amenorrhoea fever and malariabr
br
Root decoctions have a reportedly violent action on the intestines causing strong emesis and possibly causing loss of sightbr
h3"
25,Xerophyta dasylirioides,Velloziaceae,,,,None known
26,Xerophyta eglandulosa,Velloziaceae,,,,None known
27,Xerophyta pinifolia,Velloziaceae,,,,None known
28,Xerophyta spekei,Velloziaceae,,,,"In traditional medicine the leaf is used in case of stiffness of the neck or other body parts a piece of cloth is put on the aching part and the area is rubbed with the warmed leafbr
"
29,Xerophyta squarrosa,Velloziaceae,,,,None known
30,Xerophyta suaveolens,Velloziaceae,,,,None known
31,Xerospermum laevigatum,Sapindaceae,,,"leave,pulp","The pulped stone and the leaves are used to alleviate stomachachebr
"
32,Xerospermum noronhianum,Sapindaceae,,,"leave,fruit","The fruits and leaves are used to alleviate stomachachebr
"
33,Ximenia americana,Olacaceae,,Tallow Wood,"root,leave,fruit,bark,seed,twig","The leaves and twigs are laxative An infusion is used as a treatment for fevers and coldsbr
An infusion of the leaves and twigs is as a mouthwash for relieving toothache and as an eye lotionbr
br
The leaves are used as a treatment for headaches angina and as a poison antidotebr
br
The roots are used to treat skin problems headaches leprosy haemorrhoids sexually transmitted diseases guinea worm sleeping sickness oedema and act as an antidote to poisonbr
br
The fruit is useful in treating habitual constipation When eaten in large quantities it acts as a vermifugebr
The skin of the fruit is astringent br
br
The bark is used in decoction dried or powdered as a cicatrizant and applied to skin ulcers it is put on the head to relieve febrile headaches placed in bath water for sick children and used for kidney and heart complaintsbr
br
The seed is strongly purgative It is used to treat snakebitebr
The seeds are roasted crushed and then applied as a poultice to heal woundsbr
h3"
34,Ximenia caffra,Olacaceae,,,"root,leave,seed","The leaves are vermifuge The powdered dried leaves are taken orally for treating fever and infertility whilst extracts of the leaves are used as a gargle for soothing tonsillitisbr
A decoction from the leaves is used as a wash to soothe inflamed eyes The pounded leaves are used as poultices for treating wounds and boilsbr
br
Infusions of the roots are used as a remedy for dysentery and diarrhoea and combined with the leaves are taken as a remedy for colic abdominal pain malaria coughs and bilharziasis The powdered root is used in soup and in beer as an aphrodisiac whilst a decoction is used to remedy infertilitybr
A porridge made using a decoction of the roots with maize flour is eaten once a day as a remedy for nausea in pregnancy and to prevent sterility in womenbr
Powdered roots are applied to sores abcesses etc to speed up healingbr
br
The roasted and pounded seeds are used as a poultice for healing woundsbr
h3"
35,Xylia evansii,Fabaceae,,,twig,"A decoction of leafy twigs is administered as a cholagogue and tonicbr
"
36,Xylia xylocarpa,Fabaceae,,,"bark,seed","The bark contains tannins and is astringent A decoction is used to rid the body of worms It is also used in the treatment of leprosy vomiting diarrhoea gonorrhoea and ulcersbr
br
The oil from the seeds is used in the treatment of rheumatism piles and leprosybr
h3"
37,Xylocarpus granatum,Meliaceae,,,"fruit,bark,seed","The fruit is used to treat swellings of the breast and elephantiasis A decoction of the crushed fruits is drunk as an aphrodisiacbr
The dried fruit peel is used as an appetizerbr
br
The astringent bark has some medicinal uses It is reported to cure dysentery diarrhoea and other abdominal troubles and is also used as a febrifugebr
br
The seeds have been burned then mixed with sulphur and coconut oil to make a remedy against itchy skinbr
"
38,Xylocarpus moluccensis,Meliaceae,,,"fruit,bark,seed","The fruit is used as a treatment for swellings of the breast and for elephantiasisbr
The dried fruit peel is used as an appetizerbr
br
The astringent bark has some medicinal uses It is reported to cure dysentery diarrhoea and other abdominal troubles and is also used as a febrifugebr
br
The seed kernels are used as a bitter tonicbr
The seed ash mixed with sulphur and coconut oil is used as an ointment to treat itchbr
"
39,Xylocarpus rumphii,Meliaceae,,,"leave,fruit,bark,seed","The dried fruit peel is used as an appetizerbr
br
The astringent bark has some medicinal uses It is reported to cure dysentery diarrhoea and other abdominal troubles and is also used as a febrifugebr
A large piece of the bark is stripped from the tree then heated on an open fire until it is very hot This piece of bark is then tied to the back of the patient before they go to bed in the evening It is said tyo be an effective treatment for backaches and inflammation of the vertebraebr
br
The soft leaves are chewed and then swallowed This is said to produce general wellbeing and a strengthening of the bodybr
The leaves are boiled then the liquid cooled and used as a wash to ease strong coughsbr
br
The seeds are used medicinallybr
"
40,Xylopia aethiopica,Annonaceae,,Ethiopian Pepper,"root,leave,fruit,bark,pulp,seed,sap","A fruit extract or a decoction of the bark is useful in the treatment of bronchitis and dysenteric conditions It is also used as a medicine for biliousness and febrile painsbr
br
The bark is steeped in palmwine which is then given at the rate of one or two glasses per day for treating attacks of asthma stomachaches and rheumatismbr
The powdered bark is dusted onto ulcersbr
br
The root is strongly aromatic A concentrated root decoction is used as a mouthwash for toothache The powdered root mixed with salt is used as a cure for constipationbr
The powdered root is used externally as a dressing for sores to rub on gums in the treatment of pyorrhoea and in the local treatment of cancerbr
br
A decoction of the leaves and roots is used as a general tonic for treating fevers and debilitybr
br
The leaves have a pungent smell A decoction is used against rheumatism and as an emeticbr
The powdered leaves are taken as snuff for treating headaches and re also used in friction on the chest for treating bronchiopneumoniabr
The leaf sap mixed with kola nut Cola spp is given at the time of epileptic fits The fruit is also used to season the patient’s foodbr
br
The fruit is anthelmintic antitussive carminative emmenagogue purgative and a rubefacient to counter pain The fruits are particularly recommended as a tonic both for women who wish to improve their fertility and for those who have recently given birthbr
The fruits are smoked like tobacco and the smoke from a mixture of dried pulped fruit and tobacco is inhaled to relieve respiratory ailmentsbr
The fruits are often incorporated in preparations for enemas and for external uses where its revulsive properties can be put to good use for treating any painful area including pains in the chest sides and ribs lumbago and neuralgia They are also used in the treatment of boils and skin eruptionsbr
br
The seeds as separate from the fruit are emetic galactagogue rubefacient stimulant and vermifuge The ground seed is given to lactating mothers to increase their milk flow An extract of the seeds is taken to rid the body of roundworms and as a treatment for biliousness br
Crushed the seeds are rubbed on the forehead for treating headache and neuralgiabr
br
The plant is said to contain anonaceine which is an alkaloid resembling morphine in action according to some authorities and according to others is a glycosidebr
The fruit contains a volatile aromatic oil a fixed oil and rutinbr
A study of the fruit extract used in Nigerian folkmedicine for treatment of skininfections has shown some action on Gram ve organisms Sarcina lutea and Mycobacterium phlei and no action on Staphylococcus aureus and no antifungal actionbr
h3"
41,Xylopia amazonica,Annonaceae,,,"stem,leave","The leaves and stems are used as a tea to induce sleepbr
br
Species in this genus have been shown to contain alkaloids polyphenols and essential oilsbr
"
42,Xylopia aromatica,Annonaceae,,Monkey Pepper,"stem,fruit,bark,flower,seed","The flowers are carminative and tonicbr
br
The shoots stembark and seeds are aromatic and tonicbr
br
A weak tea made from the plant part not specified is used as a strong diuretic to treat cases of swellings of the legs The tea should be administered with great cautionbr
br
The fruit called Frutta de Burro is a valuable febrifugebr
br
The essential oil in the fruits contains alpha and beta pinene myrcene limonene ocimene citronellol and carvone The nonvolatile constituents include diterpenesbr
h3"
43,Xylopia benthamii,Annonaceae,,,fruit,"A tea made of this plant part not specified is used as a tranquilizer and to help people who have had a great fright be able to sleepbr
br
A tea made from the fruits is used in the treatment of gastralgia This report was under Xylopia benthaniana REFr but this name does not exist and I am fairly certain that it refers to this species Xylopia benthamii REFrbr
"
44,Xylopia brasiliensis,Annonaceae,,,"bark,seed","The seed and bark are carminative febrifuge and stomachic They are used in the treatment of stomachaches flatulence and malariabr
br
Extracts from plants in this genus have proved active against Plasmodium falciparum with IC50 between 3 and 10 mcgmlbr
"
45,Xylopia cayennensis,Annonaceae,,,fruit,"An infusion of the powdered fruit is used to remedy dysenterybr
"
46,Xylopia discreta,Annonaceae,,,fruit,"An infusion of the dry powdered fruit is employed as an antispasmodic in the treatment of dysenterybr
"
47,Xylopia emarginata,Annonaceae,,,,None knownh3
48,Xylopia frutescens,Annonaceae,,,"fruit,bark,seed","The branches are used in a preparation to treat catarrhal infections of the urinary mucous membranesbr
The branches are an ingredient in a decoction with Alpinia galanga for treating dental cavitiesbr
br
The bark is aromaticbr
br
The spicy fruit is aphrodisiac It is used in the treatment of dysentery and other stomach complaints It is mixed with coffee and used as an asthma remedybr
br
The seeds are antirheumatic aphrodisiac aromatic carminative diuretic eupeptic and tonic They are used in the treatment of consumption weakness accompanied by lumbar aches etc It is said to be effective against snake bites and is also used to treat dental caries as well as catarrhal afflictions of the mucous membranes and urinary tract An infusion of the seeds is used in the treatment of colic and stomach cramps The raw seed is infused in cold waterbr
h3"
49,Xylopia hastarum,Annonaceae,,White Lancewood,,None known
50,Xylopia longipetala,Annonaceae,,,"root,stem,leave,fruit,bark","The bark is used as a treatment for snake bites and stomachachebr
br
The plant is antitussive and expectorant A decoction of equal parts of the roots and leaves is taken to treat coughsbr
br
The cylindrical fruiting carpels are spicy They and the stembark are put into a remedy for skin infections but examination for antibacterial or antifungal action showed no activitybr
"
51,Xylopia odoratissima,Annonaceae,,,,None known
52,Xylopia parvifolia,Annonaceae,,,"root,bark","The bark of the root is used in the treatment of ulcersbr
"
53,Xylopia peruviana,Annonaceae,,,,None known
54,Xylopia pierrei,Annonaceae,,,,None known
55,Xylopia quintasii,Annonaceae,,,"root,leave,fruit,bark","The bark is fragrant and is used in the treatment of bronchopneumonic affections and for febrile painsbr
The inner bark is beaten and rubbed on the hands to reduce knotlike swellings and scrapings of the inner bark soaked in water make a mouthwash for the treatment of pyorrhoea The powdered bark is dusted on ulcersbr
br
The powdered root mixed with salt is considered to be a cure for constipationbr
The powdered root used on its own is applied externally as a dressing for sores is used for rubbing on the gums in cases of pyorrhoea and is used in the local treatment of cancerbr
br
A decoction of the leaves and roots is used as a general tonicbr
br
The fruit is used as a stimulant It is eaten to assist in childbirth and to treat menorrhagia it is also used in the treatment of mucous discharges in diseases such as bronchitis and gonorrhoeabr
"
56,Xylopia rubescens,Annonaceae,,,,None known
57,Xylopia sericea,Annonaceae,,,"fruit,seed","The seeds are aromatic and carminative They are used in the treatment of intestinal problemsbr
br
The seed capsules are used in the treatment of piles They are supposed to have vasoconstricting propertiesbr
br
Several diterpenes have been detected in the fruitbr
"
58,Xylopia vielana,Annonaceae,,,"leave,bark","The bark and leaves are used as tonic for the elderly and also for women shortly after giving birthbr
"
59,Xylosma ciliatifolia,Salicaceae,,,leave,"The leaves are said to have medicinal propertiesbr
"
60,Xylosma hawaiense,Salicaceae,,,,None known
61,Xylosma orbiculata,Salicaceae,,,,None known
62,Xylosma suaveolens,Salicaceae,,,,None known
