,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
0,Zaleya pentandra,Aizoaceae,,,sap,"The aboveground parts of the plant are used as a stomachic and treatment for gonorrhoea For this latter purpose the plant is dried and powdered and taken with millet beer This sets up acute inflammation of the urinogenitary tract resulting in haematuria vomiting and bloody stools and thus a purging of the infection This treatment may have homeopathic connotationsbr
br
The plant contains saponinsbr
h3"
1,Zamia angustifolia,Zamiaceae,,Yuquilla de Paredón,,None known
2,Zamia chigua,Zamiaceae,,Chigua Macho,,None known
3,Zamia erosa,Zamiaceae,,,,None known
4,Zamia integrifolia,Zamiaceae,,Florida Arrowroot,,None knownh3
5,Zamia lecointei,Zamiaceae,,,,None known
6,Zamia lindenii,Zamiaceae,,,,None known
7,Zamia loddigesii,Zamiaceae,,,,None known
8,Zamia pumila,Zamiaceae,,Guayiga,,None known
9,Zamia roezlii,Zamiaceae,,,,None known
10,Zamia ulei,Zamiaceae,,,,None known
11,Zanha africana,Sapindaceae,,,"root,bark","The bark is dried pounded to a powder and then used as a snuff to treat colds fevers headaches and convulsionsbr
br
A decoction of the roots is used as a remedy for colds convulsions impotence intestinal worms stomachache constipation hernia mental illness dysentery fungal infection and for facilitating childbirthbr
br
The bark of the roots appears to contain powerful drug elements It is used in childbirth and against fungal infections fits insanity pains of head and neck and other complaints both by rubbing into incisions or on to the skin and taken internallybr
"
12,Zanha golungensis,Sapindaceae,,,"root,bark","The bark is dried pounded to a powder and then used as a snuff to treat colds fevers headaches and convulsionsbr
br
A decoction of the roots is used as a remedy for colds convulsions impotence intestinal worms stomachache constipation hernia mental illness dysentery fungal infection and for facilitating childbirthbr
"
13,Zanthoxylum acanthopodium,Rutaceae,,,"bark,seed","The seeds and bark are used in the treatment of dyspepsia fever cholera etcbr
"
14,Zanthoxylum ailanthoides,Rutaceae,,,"root,bark","The resin contained in the bark and especially in that of the roots is antitussive carminative and powerfully stimulantbr
"
15,Zanthoxylum apiculatum,Rutaceae,,,"bark,sap,wood","Sap from the fresh inner bark is used to treat toothachebr
br
The wood contains the alkaloid magnoflorinebr
"
16,Zanthoxylum armatum,Rutaceae,,Winged Prickly Ash,"root,leave,fruit,bark,seed","The seeds and the bark are stomachic and vermifuge They are used as an aromatic tonic in the treatment of fevers dyspepsia and cholera The powdered seeds are eaten to rid the body of roundwormbr
A decoction of 7  14 seeds is used in the treatment of abscesses arthritis bruises gastritis swellings etc A paste of the seeds is held between the teeth for about 10 minutes to relieve toothachebr
br
The fruits branches and thorns are considered to be carminative and stomachic They are used as a remedy for toothachebr
br
A paste of the immature fruits is taken as a treatment for coughsbr
A paste of the immature fruits is applied externally to cuts and woundsbr
br
The resin contained in the bark and especially in that of the roots is powerfully stimulant and tonicbr
br
The root is boiled in water for about 20 minutes and the filtered water drunk as an anthelminticbr
br
An infusion of the leaves is drunk to relieve stomach painsbr
A paste of the leaves is applied externally to treat leucodermabr
h3"
17,Zanthoxylum avicennae,Rutaceae,,,"stem,bark","A decoction of the stem and bark are used as a stomach tonic and to treat snake bitesbr
"
18,Zanthoxylum caribaeum,Rutaceae,,,bark,"The bitter bark is aperitif and febrifugebr
br
The bark and the branches are said to be chewed as a remedy for toothachebr
"
19,Zanthoxylum chalybeum,Rutaceae,,,"root,leave,bark","This is a well known plant in traditional medicine in Africa In Somalia the leaves have been reported to be used against stomach pain and urinary retentionbr
br
Bark extracts are said to cure malariabr
A decoction of the bark and roots is used as a remedy for malaria generalized body pains coughs scorpion  bites snakebites oedema anaemia and body swellings It is also used as a gargle for treating toothachebr
The bark and root powder is mixed with oil and applied as a liniment for treating pains and sprainsbr
"
20,Zanthoxylum davyi,Rutaceae,,,"root,stem,leave,bark","The stem bark is used to treat cough cold boils pleurisy toothache and snakebitesbr
br
The prickles are applied to infected woundsbr
br
The leaves are used to treat chest pain and as a poultice to heal soresbr
br
The roots are tonic and aphrodisiac It is used to treat mouth ulcers and sore throatbr
br
The stem bark yielded 5 benzophenanthridine alkaloids One of these chelerythrine is well known for its antimicrobial and antiinflammatory properties br
Crude stem extracts showed pronounced antibacterial activity against Escherichia coli Shigella spp Salmonella typhi and Streptococcus pyogenes but no activity against Staphylococcus aureusbr
"
21,Zanthoxylum deremense,Rutaceae,,,bark,"The bark is used in the treatment of fevers coughs malaria rheumatism and general body painsbr
"
22,Zanthoxylum ekmanii,Rutaceae,,,bark,"The bark and the thorns are used medicinally No more information is givenbr
"
23,Zanthoxylum fagara,Rutaceae,,,"root,leave,bark","The bark leaves and roots have medicinal propertiesbr
"
24,Zanthoxylum flavum,Rutaceae,,Satin Wood,"bark,pulp,wood","The bark is chewed into a fine pulp and then inserted into a tooth cavity to relieve the painbr
br
The wood contains the coumarins psoralene and suberosine Psoralene is a chemical defense against fungus and insect attack of the tree and also an agent used in photochemotherapy against vitiligo psoriasis and mycosesbr
"
25,Zanthoxylum gilletii,Rutaceae,,African Satinwood,"root,stem,leave,bark,sap","The plant is an important component of traditional medicine Modern research has confirmed the presence of a range of medically active compounds in the plant including an essential oil alkaloids and saponins Various of the alkaloids have shown actions such as the ability to lower blood pressure combat cancer growths relieve pain and combat infections and parasitesbr
The bark of the stem and roots is considered to be analgesic aphrodisiac and vermifuge It is commonly used as an analgesic especially to treat burns rheumatism headache stomachache toothache and pain after childbirth It is also used as a treatment against colic fever urogenital problems including kidney complaints and gonorrhoea and as an enema against severe diarrhoeabr
The bark is applied externally to treat cough colds skin complaints and smallpoxbr
br
The leaves are used to treat heart complaints and snake bites whereas a leaf decoction is taken to treat cough gonorrhoea and schistosomiasis and a leaf maceration to treat diarrhoea and gastritisbr
The leaf sap is applied externally against an enlarged spleenbr
h3"
26,Zanthoxylum heitzii,Rutaceae,,,"stem,bark,twig","The bark is analgesic It is used to treat gonorrhoea abscesses painful joints and male sexual impotencebr
Scrapings from the stem bark are applied externally to treat malaria rheumatism and stiffness and to soothe toothachebr
br
A maceration of young twigs in lemon juice is used to treat heart complaintsbr
h3"
27,Zanthoxylum juniperinum,Rutaceae,,,,None known
28,Zanthoxylum kleinii,Rutaceae,,,leave,"The leaves are said to have medicinal propertiesbr
"
